country,species,area,environment,unit,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Bahrain,Orange-spotted grouper,"Indian Ocean, Western",Marine,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,8,10,26.2,13.6,15.08,0,9.11
Bahrain,Sobaity seabream,"Indian Ocean, Western",Marine,USD 1000,0,0,0,0,0,0,0,0,0,...,...,18,13.5,0,4.5,13.5,55.2,0,7.8,7.8,15.6,5.2,2.6,4.5,...,...,3.45,0.61,...,0,30.77
Bahrain,White-spotted spinefoot,"Indian Ocean, Western",Marine,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3.2,3.2,3.2,2.92,0,...,...,...,...,...,0,1.13
Bangladesh,Giant tiger prawn,"Indian Ocean, Eastern",Brackishwater,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,352813.72,316007.88,389442.1,458855.03,573838.56,644001.56
Bangladesh,Indian white prawn,"Indian Ocean, Eastern",Brackishwater,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,7105.55,2777.35,7339.55,16056.15,10713.2,7109.64
Bangladesh,Marine fishes nei,"Indian Ocean, Eastern",Brackishwater,USD 1000,3737.18,3889.2,5240.07,8150.24,7593.6,10527.79,10301.96,9660.6,18720,21900,22592.7,18288.88,31861.44,41218.67,36915.23,36164.7,36018.84,33166.35,35950.79,41057.6,49761.18,44374.65,49233.02,52229.08,57911.22,86615.92,143101.4,118006.92,150603.86,181827.75,301570.25
Bangladesh,Penaeus shrimps nei,"Indian Ocean, Eastern",Brackishwater,USD 1000,35259.52,43435.7,53208.54,52000.96,58351.04,67834.2,108019.2,110876.85,120120.01,156887.52,166825.42,186495.52,242138.89,274493.53,299738.22,207018.86,203199.14,183980.03,193493.1,194370.33,195027.84,196091.72,234699.27,249326.64,274281,14011.22,6560,23423.94,37351.96,36370.52,18009.79
Bangladesh,Speckled shrimp,"Indian Ocean, Eastern",Brackishwater,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,81620.56,11408.48,37194.98,33720.49,21220,11619.62
Belize,Cobia,"Atlantic, Western Central",Marine,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1800,2304,510,496.2,0,0,0,...
Belize,Eucheuma seaweeds nei,"Atlantic, Western Central",Marine,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,7.2,6,4.4
Belize,Palinurid spiny lobsters nei,"Atlantic, Western Central",Marine,USD 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,248,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Belize,Whiteleg shrimp,"Atlantic, Western Central",Brackishwater,USD 1000,0,0,230,...,...,5962,1089,1727,3000,5700,5871.2,7488,5736,8610,9852,15182.4,17424,33539.2,30800,64312.8,49680,47938.5,32557.5,11124,10255.5,18121.5,23345,17664.5,20345.5,24780,28654.24
Benin,Black catfishes nei,Africa - Inland waters,Brackishwater,USD 1000,...,...,...,...,204.93,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Benin,Blackchin tilapia,Africa - Inland waters,Brackishwater,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,228,229.2,0,...,...,...,...,...,...,...
Benin,Tilapias nei,Africa - Inland waters,Brackishwater,USD 1000,12.4,7.41,14.32,18.74,29.61,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Bonaire/S.Eustatius/Saba,Cobia,"Atlantic, Western Central",Marine,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,3.85,...,0,0
Bosnia and Herzegovina,Common dentex,Mediterranean and Black Sea,Marine,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,140,140,...,95,114,142.5,190,95,95,79.2,...,523.2,...
Bosnia and Herzegovina,European flat oyster,Mediterranean and Black Sea,Marine,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,45,45,...,44,61.6,95.2,103.6,56,56,8.37,6,6,...
Bosnia and Herzegovina,European seabass,Mediterranean and Black Sea,Marine,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,510,595,329,705.2,672,800,800,640,640,705.6,...,...,438
Bosnia and Herzegovina,Gilthead seabream,Mediterranean and Black Sea,Marine,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,510,510,270,798,900.9,910,910,910,910,1097.4,...,652.7,652.7
Bosnia and Herzegovina,Marine fishes nei,Mediterranean and Black Sea,Marine,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,160.78,349.2,...,...
Bosnia and Herzegovina,Mediterranean mussel,Mediterranean and Black Sea,Marine,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,33,33,15,64,67.2,70,70,70,70,89.3,95,91.2,244
Brazil,Cupped oysters nei,"Atlantic, Southwest",Marine,USD 1000,0,0,0,0,0,0,0,0,0,0,0,82.5,141,225,504,1398,1786.5,2596.5,2638.5,3294,4023,3165,5119.5,3601,5265,5265,4960.8,3829.68,3548.26,4035.06,5020.91
Brazil,Elkhorn sea moss,"Atlantic, Southwest",Marine,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,24.54,37.51,59.69,62.77,53.76,48.7,44.62
Brazil,Gracilaria seaweeds,"Atlantic, Southwest",Marine,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1.64,1.5,2.56,2.69,2.3,2.09,1.91
Brazil,Groupers nei,"Atlantic, Southwest",Marine,USD 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,6,6,6,0,0,0,0,0,0,...,...,...,...,...
Brazil,Marine fishes nei,"Atlantic, Southwest",Marine,USD 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,13,13,13,1,0,0,0,0,0,0,...,...,...,...,...
Brazil,Marine molluscs nei,"Atlantic, Southwest",Marine,USD 1000,50,61.5,78,78,104,104,104,135,135,135,135,0,0,0,0,0,0.6,0.6,0.6,0.6,...,9,9,...,...,...,...,10.04,...,...,...
Brazil,Mullets nei,"Atlantic, Southwest",Marine,USD 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,3.4,6.8,21.6,21.6,21.6,1.8,0,0,0,0,0,0,...,...,...,...,...
Brazil,Pacific lion's paw,"Atlantic, Southwest",Marine,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,90,70,70,25,...,...,...,...
Brazil,Scallops nei,"Atlantic, Southwest",Marine,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,8,8,8,8,8,8,4,4,4,...,...,...,...,...,...,...,...
Brazil,Snooks(=Robalos) nei,"Atlantic, Southwest",Marine,USD 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,10,10,10,2,0,0,0,0,0,0,...,...,...,...,...
Brazil,South American rock mussel,"Atlantic, Southwest",Marine,USD 1000,...,...,...,...,...,...,...,...,...,...,...,2686.4,4025.6,5132,6199.2,6657,5880,5540,4533.5,4304,5190,6387.5,5437.35,9601.6,11620.35,14387.1,20584.5,26722.4,30145.18,22902.44,34594.07
Brazil,Whiteleg shrimp,"Atlantic, Southwest",Marine,USD 1000,2000,3500,5400,7615,8000,7800,6800,5600,5880,5880,5880,5017.5,8410,9032.5,18135,40135,63470,80000,120506.01,180380.02,151808,126268.01,128700.01,180271.95,264336.75,275496.44,390670.4,476174.88,441612.75,354822.9,337334.9
Brunei Darussalam,Barramundi(=Giant seaperch),"Pacific, Western Central",Brackishwater,USD 1000,...,...,...,3.12,3.26,0,21.54,0,78.53,209.22,400.68,625.35,612.76,558.95,531.74,241.92,31.33,...,179.89,160.73,254.45,180.27,226.63,205.79,197.8,206.45,242.23,238.61,160.1,332.21,594.2
Brunei Darussalam,Blue shrimp,"Pacific, Western Central",Brackishwater,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1917.24,1490.26,1667.45,2392.4,2066.35,1651.61,1789.23,1908.88,1801.07,2705.21,4200.69
Brunei Darussalam,Giant tiger prawn,"Pacific, Western Central",Brackishwater,USD 1000,...,...,...,...,...,...,...,...,26.38,42.09,49.1,126.76,349.85,672.99,619.76,265.52,184.1,207.62,194.41,220.43,270.72,403.81,582,515.71,335.36,272.24,137.63,178.96,180.11,44.68,0
Brunei Darussalam,Indo-Pacific swamp crab,"Pacific, Western Central",Brackishwater,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2.96,0,9.44,9.96,0,3.44,11.12,19.88,20.01,...,...
Brunei Darussalam,"Jacks, crevalles nei","Pacific, Western Central",Brackishwater,USD 1000,...,...,...,...,...,...,...,...,...,6.44,0,0,0,0,0,0,121,...,44.69,45.92,177.52,0,0,0,0,0,128.38,143.17,120.07,128.13,39.19
