,(table of contents),V_3.7 - Per capita food supply variability,,,,,,,,,,,,,,,,,,,,,
,(home),(kcal/caput/day),,,,,,,,,,,,,,,,,,,,,
FAOST_CODE,Regions/Subregions/Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
115,Cambodia,65,58,35,42,42,26,28,92,112,102,77,52,63,63,48,33,24,21,19,18,10,16
101,Indonesia,73,108,126,128,106,59,78,69,56,37,34,39,32,25,17,12,13,12,12,9,16,21
120,Lao People's Democratic Republic,25,40,40,41,37,37,26,14,13,13,20,22,23,22,24,21,33,24,19,32,32,23
131,Malaysia,76,53,28,37,50,60,74,51,42,30,20,37,43,55,53,28,22,22,24,24,29,32
28,Myanmar,52,54,55,52,57,15,16,16,17,18,33,31,29,16,14,6,11,10,15,30,30,31
171,Philippines,22,36,34,32,39,40,31,39,39,44,41,41,29,24,23,24,21,27,40,30,29,18
200,Singapore,,,,,,,,,,,,,,,,,,,,,,
216,Thailand,67,55,44,44,45,28,30,64,66,49,47,45,47,46,24,26,19,41,41,38,36,38
176,Timor-Leste,44,94,95,97,104,105,55,58,65,96,97,54,57,89,90,71,44,32,25,12,15,14
237,Viet Nam,44,32,53,53,60,64,62,47,72,63,49,50,53,20,10,15,22,38,39,34,18,19
5856,Western Asia,69,57,62,76,75,63,12,22,20,24,18,21,21,9,16,16,10,13,13,18,20,21
13,Bahrain,,,,,,,,,,,,,,,,,,,,,,
103,Iraq,381,256,327,404,410,317,85,79,36,25,32,42,63,54,38,41,31,31,34,36,23,18
112,Jordan,40,72,82,73,68,89,93,72,52,27,61,60,62,71,114,112,79,46,32,59,59,55
118,Kuwait,152,302,518,522,436,331,456,373,261,93,51,59,61,83,87,90,69,28,37,46,59,48
121,Lebanon,47,39,37,33,45,31,27,12,48,57,59,43,19,20,38,37,51,51,37,37,38,41
221,Oman,128,135,112,124,121,49,56,58,49,60,78,76,79,45,63,58,58,16,15,42,57,53
179,Qatar,,,,,,,,,,,,,,,,,,,,,,
194,Saudi Arabia,90,88,85,60,82,111,86,67,87,95,61,55,37,44,61,79,63,34,22,23,32,49
