,(table of contents),V_1.5 - Average supply of protein of animal origin,,,,,,,,,,,,,,,,,,,,,,,,,,
,(home),(gr/caput/day),,,,,,,,,,,,,,,,,,,,,,,,,,
FAOST_CODE,Regions/Subregions/Countries,1990-92,1991-93,1992-94,1993-95,1994-96,1995-97,1996-98,1997-99,1998-00,1999-01,2000-02,2001-03,2002-04,2003-05,2004-06,2005-07,2006-08,2007-09,2008-10,2009-11,,,,,,,
88,Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Kiribati,31,32,32,33,34,34,34,34,34,35,35,36,37,38,38,39,38,38,37,37,,,,,,,
127,Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Micronesia (Federated States of),,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Samoa,41,42,42,41,42,40,41,41,43,45,45,46,44,45,43,44,44,46,48,48,,,,,,,
25,Solomon Islands,20,19,18,17,18,20,21,20,17,15,15,15,15,15,16,16,17,17,17,17,,,,,,,
218,Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Vanuatu,25,25,25,25,26,26,26,26,26,26,25,25,24,25,25,27,28,29,28,28,,,,,,,
243,Wallis and Futuna Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,
5851,Developed countries,58,58,58,58,58,58,58,58,59,59,59,60,60,60,60,61,61,61,61,60,,,,,,,
3,Albania,26,28,31,35,39,39,38,37,38,40,41,44,46,48,49,50,50,50,50,51,,,,,,,
6,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Australia,70,69,69,69,68,67,67,67,67,67,67,67,67,68,68,70,70,69,68,69,,,,,,,
11,Austria,67,67,69,68,69,70,71,71,70,70,70,69,67,66,65,64,64,64,64,64,,,,,,,
57,Belarus,52,54,53,52,52,51,52,51,49,47,47,47,47,47,48,50,51,52,52,52,,,,,,,
255,Belgium,,,,,,,,,60,64,63,63,62,62,62,62,64,63,62,60,,,,,,,
17,Bermuda,67,65,64,61,58,58,57,57,56,56,56,55,53,51,52,54,58,60,60,62,,,,,,,
80,Bosnia and Herzegovina,16,17,17,18,19,21,22,23,23,23,24,24,25,27,27,29,29,30,31,31,,,,,,,
27,Bulgaria,41,40,40,40,39,39,41,42,43,41,40,38,37,37,38,38,38,38,39,39,,,,,,,
33,Canada,58,57,57,57,57,56,57,58,60,60,60,60,59,59,58,58,58,58,57,57,,,,,,,
98,Croatia,30,26,28,28,28,28,27,27,28,31,33,35,37,39,42,44,46,47,46,46,,,,,,,
50,Cyprus,49,49,50,51,51,51,50,51,51,52,52,52,51,50,49,48,48,49,48,48,,,,,,,
167,Czech Republic,,60,52,55,53,54,55,55,56,55,54,54,55,56,56,57,56,55,55,54,,,,,,,
54,Denmark,70,70,68,69,69,69,67,65,64,65,67,68,67,69,72,73,71,68,67,67,,,,,,,
63,Estonia,72,64,66,60,57,52,50,50,51,52,53,53,53,52,51,52,51,52,52,52,,,,,,,
64,Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Finland,62,60,61,61,63,64,65,64,64,63,64,64,65,65,65,66,67,68,68,69,,,,,,,
