,(table of contents),V_3.6 - Per capita food production variability,,,,,,,,,,,,,,,,,,,,,,,
,(home),(constant 2004-2006 thousand int$ per capita),,,,,,,,,,,,,,,,,,,,,,,
FAOST_CODE,Regions/Subregions/Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
195,Senegal,10.3,7.9,8.1,7.4,7.1,4.0,5.9,5.8,5.6,7.1,12.8,15.4,15.4,20.5,19.2,17.4,14.6,12.5,11.2,14.0,16.9,19.7,21.4,17.5
197,Sierra Leone,3.0,2.0,2.2,1.8,1.6,1.9,2.1,3.7,5.0,5.4,9.5,14.8,15.1,9.3,15.0,19.1,16.5,13.9,12.1,15.1,13.8,14.2,9.3,10.0
217,Togo,3.5,2.5,3.3,4.7,6.4,6.8,6.8,7.6,5.2,5.2,5.1,5.7,5.7,4.7,4.8,1.6,1.7,1.1,1.1,2.7,4.2,3.6,3.7,4.1
5853,Asia,1.6,1.4,1.4,1.4,1.4,1.5,1.8,2.5,2.0,1.8,1.2,1.2,1.4,2.9,3.0,2.4,1.4,1.4,2.3,2.9,2.2,2.1,1.9,1.8
5857,Caucasus and Central Asia,29.0,21.2,16.2,13.2,16.9,19.0,15.3,16.9,12.5,10.0,9.3,10.8,14.5,15.6,9.4,8.2,4.9,5.3,5.7,6.5,5.8,13.5,12.5,15.9
1,Armenia,,,8.8,8.0,14.2,12.7,10.0,11.3,14.1,12.0,13.5,15.0,8.8,10.5,6.6,10.9,22.0,26.9,29.8,19.6,12.0,32.8,36.6,29.7
52,Azerbaijan,,,14.0,10.1,20.2,26.4,23.7,18.9,6.4,3.8,7.9,10.6,14.5,13.4,9.7,6.5,5.5,5.3,7.3,7.4,7.2,7.9,7.0,7.7
73,Georgia,,,8.1,11.5,14.3,11.7,11.2,14.7,18.1,14.0,8.5,13.9,13.8,8.2,15.0,15.6,24.2,30.0,28.4,30.1,30.2,10.7,11.7,14.8
108,Kazakhstan,,,36.8,23.8,21.0,39.3,55.0,62.7,48.5,35.0,35.3,37.9,50.7,56.0,27.7,26.1,8.8,12.6,23.0,23.4,19.6,41.1,43.1,64.8
113,Kyrgyzstan,,,12.6,15.3,19.6,21.1,15.8,12.2,11.5,13.3,16.2,11.6,12.4,10.5,7.6,7.2,10.3,8.8,11.2,9.9,3.4,4.5,6.1,5.9
208,Tajikistan,,,8.0,6.2,9.1,8.6,5.2,9.9,9.4,11.2,8.2,7.0,9.2,12.4,11.0,10.1,8.3,6.2,7.3,8.4,4.1,3.5,3.4,3.4
213,Turkmenistan,,,13.8,17.4,17.5,14.5,8.6,20.5,30.0,27.6,19.6,10.4,13.1,15.2,18.4,14.8,17.1,12.8,21.1,21.4,19.8,23.5,29.0,13.6
235,Uzbekistan,,,11.5,13.7,16.4,13.4,4.6,6.1,6.9,7.0,6.2,5.0,4.4,3.5,4.2,4.7,5.5,8.4,6.4,6.0,6.8,7.9,4.4,5.4
5834,Eastern Asia,3.0,2.8,3.0,2.3,2.2,2.2,3.4,4.9,3.8,3.4,1.6,1.3,3.0,3.7,5.0,4.3,2.5,2.6,2.6,3.2,3.5,3.4,2.3,1.9
351,China,3.3,3.0,3.2,2.6,2.5,2.5,3.9,5.5,4.2,3.6,1.7,1.5,3.2,3.9,5.1,4.3,2.5,2.6,2.7,3.2,3.4,3.4,2.2,1.8
116,Democratic People's Republic of Korea,5.1,2.8,14.7,15.2,13.5,11.7,22.3,26.2,24.8,17.9,11.0,11.8,12.9,9.6,10.0,9.5,3.2,2.5,7.4,7.5,6.7,4.9,3.7,3.8
141,Mongolia,13.5,13.4,18.0,20.0,30.1,37.0,35.8,28.8,32.5,41.4,45.3,35.8,41.1,48.5,63.1,49.6,20.5,17.2,17.9,18.2,41.3,38.6,33.4,30.7
117,Republic of Korea,1.9,3.7,6.5,6.7,5.6,4.8,5.3,4.6,5.9,5.5,3.9,2.9,2.9,4.8,7.8,7.8,6.1,2.5,2.0,5.0,8.1,7.1,7.0,6.3
5854,Eastern Asia (excluding China),2.2,2.0,2.5,3.5,3.5,4.2,6.4,6.6,4.5,3.1,5.6,5.2,4.6,3.1,4.3,4.0,3.6,1.7,1.7,3.4,6.0,6.0,6.5,5.8
5303,Southern Asia,3.4,2.4,2.1,1.2,1.3,1.2,1.4,1.5,1.1,1.1,1.8,1.7,1.8,5.6,5.5,4.8,4.3,3.8,4.8,5.2,4.1,3.8,3.6,2.8
2,Afghanistan,4.9,6.7,3.2,7.7,9.4,9.8,6.3,3.9,7.8,11.3,10.9,11.3,16.4,16.1,13.3,9.2,10.0,4.7,5.0,5.8,6.8,6.5,6.2,6.0
16,Bangladesh,3.0,3.5,3.6,2.9,1.6,3.9,4.2,3.4,2.3,1.1,3.9,5.3,5.2,4.5,3.7,5.5,3.7,3.5,3.7,4.8,2.1,2.2,2.1,4.0
18,Bhutan,17.7,16.4,15.8,10.7,10.3,3.6,6.3,8.9,8.4,7.0,9.4,23.2,29.5,32.0,30.2,9.2,28.2,35.1,31.2,25.7,27.6,27.8,23.0,14.1
100,India,4.4,3.2,3.2,1.8,1.8,1.4,1.6,1.8,1.5,1.4,2.3,1.8,1.8,7.0,7.0,6.6,6.0,4.6,5.6,6.3,5.7,5.1,5.0,4.1
102,Iran (Islamic Republic of),15.6,14.9,10.5,12.7,14.9,9.8,9.0,3.0,3.9,3.5,3.8,11.9,12.0,10.9,10.3,9.9,11.3,7.7,8.2,13.9,13.4,11.8,11.3,8.7
132,Maldives,3.1,5.8,7.3,7.4,6.4,6.5,6.6,5.4,2.5,2.7,3.4,3.2,2.1,2.5,2.3,5.4,5.4,5.1,4.1,4.3,1.9,1.9,0.9,1.5
149,Nepal,5.3,4.9,2.4,5.1,5.1,5.7,5.5,4.6,3.4,2.8,2.3,2.5,2.9,3.0,2.1,1.5,1.5,2.3,5.2,5.2,4.1,3.6,2.9,8.1
165,Pakistan,2.9,3.0,2.2,1.8,2.0,2.0,4.4,4.6,3.1,2.7,2.0,1.6,4.8,6.3,5.4,4.0,3.8,4.2,4.2,4.2,3.4,3.9,4.0,5.4
38,Sri Lanka,7.0,5.9,3.8,3.0,3.9,4.9,6.5,6.4,6.1,6.3,5.5,2.9,2.3,2.2,2.1,3.9,3.1,3.0,3.1,4.2,3.0,4.5,4.6,3.7
5855,Southern Asia (excluding India),3.0,3.0,2.3,2.4,1.9,1.1,1.4,1.2,1.1,1.0,1.1,1.6,3.5,3.7,3.4,2.0,3.5,3.1,3.5,3.3,1.4,1.5,1.9,1.9
5304,South-Eastern Asia,2.7,2.6,2.5,2.4,2.3,2.3,2.6,1.3,2.5,6.5,7.1,5.9,3.6,3.3,3.9,3.3,2.6,2.4,2.5,2.9,2.8,3.4,4.5,4.3
26,Brunei Darussalam,7.3,4.3,2.7,5.7,5.5,5.7,4.0,5.9,5.5,4.7,5.3,7.1,7.4,6.8,4.1,7.2,18.6,17.1,14.8,13.9,13.9,2.4,2.9,4.3
115,Cambodia,10.9,10.1,10.6,9.1,8.8,7.3,9.8,10.8,10.8,10.3,4.6,3.6,4.2,9.4,9.4,10.3,11.4,13.8,12.2,12.3,5.3,6.7,6.2,8.0
101,Indonesia,2.1,2.0,1.9,3.2,3.1,3.1,5.8,4.6,5.8,7.7,9.7,7.6,3.3,2.6,5.0,5.6,4.7,4.2,2.9,2.8,3.0,3.0,4.8,5.1
120,Lao People's Democratic Republic,10.1,12.3,12.5,12.8,9.5,9.0,7.9,10.8,8.6,9.1,8.3,13.4,12.4,12.5,6.2,6.3,6.4,8.5,4.2,5.3,4.3,3.2,3.2,12.2
131,Malaysia,10.4,11.7,11.7,8.7,9.3,9.1,9.2,9.1,9.2,16.9,15.8,14.7,13.2,10.9,7.8,9.5,10.4,11.4,6.4,8.7,8.6,13.7,12.6,15.1
28,Myanmar,4.7,3.2,4.6,4.2,7.4,9.4,8.9,5.2,7.8,11.7,10.4,7.1,4.4,4.3,2.6,2.8,2.9,7.9,10.0,13.1,11.5,5.1,9.0,18.1
171,Philippines,4.8,6.8,6.7,6.6,4.5,2.3,2.3,2.8,2.8,8.7,8.7,8.7,6.7,5.5,2.7,2.4,1.7,1.1,3.7,4.4,4.3,5.5,6.4,5.6
200,Singapore,3.1,4.0,4.3,4.3,3.6,4.8,3.9,2.7,3.3,3.7,3.4,3.2,2.9,2.7,2.5,1.4,1.1,0.8,1.0,1.0,0.3,0.3,0.6,1.1
216,Thailand,12.7,9.3,10.4,9.9,10.0,9.9,3.1,3.2,2.1,8.4,8.3,10.3,11.7,12.2,10.6,8.0,14.9,16.1,16.5,11.5,11.6,10.7,9.3,10.6
176,Timor-Leste,3.3,3.1,5.3,6.2,6.2,2.8,3.3,7.1,6.4,5.9,5.1,5.0,4.5,7.0,6.6,4.3,5.5,5.8,4.9,3.4,9.3,8.8,10.9,10.1
237,Viet Nam,3.3,3.1,3.7,3.3,3.2,2.2,1.7,1.2,0.8,0.8,1.2,2.0,2.0,3.5,3.8,4.1,2.8,1.9,2.3,2.2,2.1,2.5,2.7,4.0
5856,Western Asia,10.1,8.9,8.9,8.6,5.1,4.6,2.5,4.6,4.8,10.1,9.8,9.1,10.6,9.3,7.1,7.3,6.7,5.5,6.6,7.3,7.7,6.1,4.3,5.6
13,Bahrain,5.6,7.6,8.2,4.5,4.4,4.4,4.2,3.0,2.6,2.5,1.9,1.9,2.9,3.4,2.9,3.6,2.4,2.6,2.4,2.3,2.0,1.7,3.1,3.8
103,Iraq,7.9,12.4,19.4,20.8,20.9,19.6,13.8,9.2,2.0,3.6,3.5,4.1,6.0,9.8,12.4,14.4,14.2,13.5,5.4,5.4,4.8,4.7,7.0,7.9
112,Jordan,11.6,13.1,12.8,18.1,18.1,13.2,13.4,15.8,15.1,15.3,15.9,10.1,11.5,17.0,17.6,16.2,16.2,6.3,6.9,8.1,5.1,5.5,4.5,6.9
118,Kuwait,6.9,6.2,22.1,23.7,20.2,17.3,19.7,17.0,10.9,5.6,2.5,3.1,2.9,5.3,5.1,4.7,6.6,4.7,5.5,7.2,6.4,6.8,11.0,13.0
121,Lebanon,18.1,12.8,18.0,21.8,19.7,15.4,13.0,20.2,21.4,23.3,25.4,23.9,14.2,12.7,12.8,16.7,16.2,10.0,12.4,14.4,14.5,11.3,13.4,16.5
221,Oman,1.9,2.3,2.0,2.3,1.9,1.8,1.8,2.5,2.7,6.2,12.1,12.6,10.2,11.3,17.9,14.8,15.0,13.6,13.5,9.7,10.4,9.9,9.4,9.4
179,Qatar,9.2,6.0,3.2,4.5,4.2,3.8,3.8,5.0,7.9,7.9,7.1,7.1,9.3,6.0,5.9,5.9,5.4,4.5,2.9,3.2,1.4,2.0,4.0,5.6
194,Saudi Arabia,4.8,4.3,2.3,1.9,3.2,5.8,7.1,8.0,5.8,6.8,6.8,6.4,3.8,3.8,3.4,2.5,2.0,1.4,1.4,1.3,3.0,2.8,2.6,2.5
