,(table of contents),V_2.4 - Gross domestic product per capita (in purchasing power equivalent),,,,,,,,,,,,,,,,,,,,,,,,,
,(home),(constant 2011 international $),,,,,,,,,,,,,,,,,,,,,,,,,
FAOST_CODE,Regions/Subregions/Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,
107,C™te d'Ivoire,3220.5,3110.6,2996.9,2890.8,2819.4,2925.9,3057.0,3079.3,3142.4,3112.2,2977.7,2919.9,2817.7,2730.8,2716.1,2712.6,2701.0,2693.9,2705.1,2733.0,2726.3,2546.9,2753.0,2934.5,3108.4,
75,Gambia,1517.0,1510.3,1513.1,1514.5,1475.4,1447.7,1439.3,1468.3,1477.5,1527.4,1564.2,1605.0,1504.7,1557.2,1614.0,1547.9,1515.7,1520.9,1557.1,1604.8,1654.9,1532.5,1570.3,1592.7,,
81,Ghana,1919.6,1965.3,1985.0,2024.2,2035.7,2066.1,2109.8,2148.4,2199.3,2244.1,2272.7,2306.2,2349.8,2409.0,2478.6,2557.4,2651.4,2695.9,2867.7,2931.0,3083.9,3430.9,3659.2,3833.8,3894.0,
90,Guinea,1125.2,1094.2,1065.7,1056.2,1042.7,1045.4,1056.9,1084.1,1101.6,1123.8,1132.0,1152.9,1191.4,1184.5,1188.8,1198.5,1200.0,1190.5,1216.4,1180.3,1170.8,1183.9,1197.5,1192.2,1165.1,
175,Guinea-Bissau,1506.7,1548.4,1530.7,1528.3,1542.5,1575.2,1719.9,1792.3,1261.2,1247.1,1287.1,1287.6,1248.3,1229.1,1236.5,1261.9,1263.6,1276.1,1288.4,1301.5,1328.1,1413.9,1349.2,1320.9,1321.8,
123,Liberia,872.8,762.0,503.8,341.4,265.4,246.7,261.7,501.7,604.0,686.1,836.5,830.3,841.4,577.7,581.5,596.3,622.4,655.1,673.2,681.3,697.9,732.6,770.3,817.2,802.0,
133,Mali,1095.7,1197.5,1130.4,1135.6,1146.9,1126.6,1174.3,1198.7,1255.3,1290.8,1213.5,1318.0,1334.2,1392.4,1379.7,1418.1,1444.5,1457.4,1480.0,1496.5,1534.2,1528.4,1484.0,1465.7,1525.7,
136,Mauritania,2800.7,2772.5,2746.0,2825.5,2661.0,2838.1,2916.1,2716.3,2709.4,2831.4,2734.4,2704.4,2639.2,2712.4,2783.8,2947.7,3409.2,3414.1,3363.8,3245.7,3315.9,3375.0,3487.6,3594.6,3731.9,
158,Niger,905.7,899.1,813.3,797.7,801.5,794.0,792.4,785.3,836.1,801.5,761.8,786.6,781.1,792.9,765.1,770.5,785.5,780.5,823.7,787.2,820.7,807.2,867.3,871.3,894.6,
159,Nigeria,3030.5,2936.0,2875.2,2862.7,2817.5,2739.6,2805.5,2813.0,2818.0,2761.3,2836.0,2887.3,2921.7,3143.1,4096.8,4129.3,4352.8,4528.9,4686.6,4879.5,5122.8,5230.6,5309.5,5447.8,5639.4,
187,"Saint Helena, Ascension and Tristan da Cunha",,,,,,,,,,,,,,,,,,,,,,,,,,
195,Senegal,1863.6,1853.2,1819.6,1788.8,1737.6,1781.3,1770.6,1781.3,1841.5,1911.6,1923.9,1960.8,1922.1,1996.0,2056.6,2114.1,2108.2,2153.0,2171.6,2162.1,2187.2,2159.0,2184.0,2193.0,2225.8,
197,Sierra Leone,1375.2,1402.3,1140.5,1166.7,1154.5,1067.8,1087.9,1021.2,1030.1,991.7,1028.5,919.0,1107.4,1152.5,1170.4,1172.7,1196.9,1257.9,1294.5,1306.1,1345.2,1374.6,1549.8,1832.7,1875.7,
217,Togo,1350.1,1306.2,1223.5,1014.1,1138.4,1198.0,1271.6,1417.8,1349.7,1347.4,1302.0,1247.2,1203.0,1228.9,1221.4,1202.6,1217.8,1212.2,1205.9,1214.8,1229.5,1255.1,1293.9,1324.2,1363.1,
5853,Asia,3082.7,3152.9,3309.1,3457.5,3611.9,3849.0,4064.4,4227.8,4255.1,4421.9,4658.6,4800.9,4993.0,5275.4,5660.0,6062.5,6540.0,7093.1,7439.0,7755.8,8339.4,8852.0,9264.7,9714.7,10214.8,
5857,Caucasus and Central Asia,6813.4,6139.0,5146.9,4549.0,3956.1,3693.5,3735.7,3810.1,3871.8,4027.3,4299.7,4681.0,5012.9,5402.1,5835.2,6436.6,7217.3,8004.5,8417.5,8536.3,8962.7,9386.6,9759.9,10249.1,10606.8,
1,Armenia,3735.5,3329.3,1972.7,1841.7,1988.2,2169.4,2332.7,2437.6,2636.3,2740.2,2918.6,3214.3,3653.4,4181.2,4634.8,5296.8,6021.4,6881.4,7388.6,6362.2,6507.9,6803.5,7268.0,7473.1,7698.7,
52,Azerbaijan,8513.3,8323.5,6345.5,4806.1,3807.5,3319.8,3329.1,3488.4,3801.0,4046.6,4459.0,4862.6,5338.1,5891.1,6435.4,8051.7,10711.2,13243.2,14365.0,15393.9,15950.3,15754.2,15888.2,16593.2,16710.3,
73,Georgia,8018.3,6282.1,3434.7,2409.8,2181.1,2298.2,2620.8,2950.5,3072.2,3185.0,3268.7,3450.7,3664.1,4095.7,4346.2,4716.4,5116.0,5760.1,5899.6,5641.9,5938.3,6322.5,6702.4,6930.3,7233.4,
108,Kazakhstan,12728.5,11257.8,10668.5,9751.5,8647.3,8078.6,8242.9,8516.5,8500.2,8813.2,9706.0,11035.1,12116.0,13198.4,14365.2,15619.2,17108.5,18419.3,18796.7,18527.4,19601.1,20772.1,21505.7,22469.7,23113.9,
113,Kyrgyzstan,3474.7,3149.9,2681.3,2266.2,1811.6,1696.4,1789.9,1938.8,1949.8,1991.3,2074.5,2164.3,2144.1,2270.9,2401.3,2370.2,2417.6,2599.2,2790.9,2837.0,2790.2,2920.6,2869.8,3120.5,3169.5,
208,Tajikistan,3635.3,3302.3,2299.8,1890.6,1465.5,1265.6,1040.3,1044.7,1086.2,1111.3,1185.6,1284.9,1397.8,1521.6,1644.6,1719.0,1801.2,1900.8,2007.2,2038.2,2123.0,2229.4,2343.2,2460.4,2567.0,
213,Turkmenistan,8353.2,7748.1,6402.5,6319.5,5094.1,4622.9,4840.5,4221.1,4459.8,5132.5,5350.7,5521.4,5477.3,5598.1,5816.9,6504.9,7137.4,7834.4,8877.3,9303.0,10031.6,11360.5,12460.0,13555.0,14762.1,
235,Uzbekistan,3031.5,2952.9,2561.5,2446.3,2274.0,2213.2,2208.2,2279.6,2339.7,2414.1,2471.4,2542.8,2612.4,2690.6,2864.6,3029.6,3211.4,3466.7,3732.9,3967.7,4185.1,4412.5,4704.5,5002.1,5316.9,
5834,Eastern Asia,2019.4,2171.5,2399.6,2652.2,2930.1,3191.0,3441.4,3694.8,3841.4,4110.0,4422.4,4713.7,5082.8,5491.2,5967.4,6538.1,7250.3,8140.3,8793.0,9445.7,10354.6,11214.0,11951.9,12746.8,13545.0,
351,China,1650.7,1774.2,1991.8,2230.2,2480.5,2708.8,2932.8,3166.0,3360.2,3577.7,3848.5,4123.8,4455.4,4859.8,5316.4,5876.1,6572.4,7447.9,8103.1,8778.1,9659.9,10518.1,11261.9,12057.4,12851.5,
116,Democratic People's Republic of Korea,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Mongolia,5122.5,4606.0,4132.0,3966.2,4020.1,4243.8,4304.0,4435.1,4544.5,4643.5,4655.0,4748.3,4924.7,5215.1,5705.5,6047.1,6482.3,7052.1,7572.1,7364.2,7708.6,8889.3,9809.3,10756.9,11396.4,
117,Republic of Korea,12086.8,13130.1,13743.6,14465.7,15577.1,16798.4,17834.8,18687.2,17492.7,19232.6,20756.8,21536.1,23008.1,23565.6,24627.6,25541.5,26733.6,28063.3,28650.3,28716.1,30440.4,31327.1,31901.1,32684.3,33629.4,
5854,Eastern Asia (excluding China),11749.9,12715.4,13274.4,13952.6,15012.0,16183.9,17171.5,17987.2,16855.2,18512.1,19958.8,20700.5,22103.4,22642.3,23669.5,24547.7,25693.9,26976.4,27551.4,27593.8,29235.2,30126.9,30708.4,31489.5,32406.7,
5303,Southern Asia,2270.9,2318.9,2390.6,2413.2,2467.9,2564.2,2683.1,2716.3,2793.4,2921.3,2995.5,3060.7,3113.7,3288.7,3459.0,3673.8,3909.2,4194.6,4270.1,4487.1,4799.2,5008.1,5106.7,5301.9,5571.8,
2,Afghanistan,,,,,,,,,,,,,1088.0,1126.4,1090.2,1167.4,1193.9,1321.5,1335.6,1576.0,1662.8,1712.6,1899.3,1876.2,1844.0,
16,Bangladesh,1290.4,1304.3,1344.6,1377.5,1400.6,1441.0,1474.3,1508.3,1553.7,1593.8,1645.7,1697.0,1730.3,1781.3,1844.8,1936.7,2038.7,2156.5,2260.6,2348.4,2451.3,2579.3,2714.8,2843.2,2979.2,
18,Bhutan,2332.9,2327.0,2464.5,2558.2,2724.0,2931.0,3073.1,3185.1,3293.9,3460.4,3596.7,3780.5,4062.7,4246.0,4370.4,4560.0,4757.2,5490.2,5640.1,5906.5,6485.6,6882.7,7120.3,7167.5,7456.3,
100,India,1773.1,1755.7,1815.3,1864.5,1950.4,2058.3,2172.0,2218.0,2312.1,2471.5,2521.3,2597.6,2651.1,2812.6,2986.8,3213.1,3457.1,3739.3,3828.4,4094.5,4452.9,4685.9,4861.1,5131.8,5438.6,
102,Iran (Islamic Republic of),10173.7,11243.4,11446.0,11146.9,10830.6,10940.4,11447.6,11394.2,11413.6,11432.9,11904.7,12013.8,12814.9,13754.3,14185.2,14613.5,15272.6,16479.5,16446.1,16634.0,17517.4,17949.2,16548.9,16023.2,16507.0,
132,Maldives,,,,,,,,,,,,6972.7,7248.4,8085.8,8989.3,7985.5,9287.7,9818.2,10646.6,10115.7,10514.4,11126.9,11167.7,11454.6,11953.6,
149,Nepal,1198.4,1241.9,1258.4,1271.6,1340.0,1352.0,1390.8,1428.9,1441.7,1476.3,1539.8,1586.9,1564.4,1603.1,1656.3,1693.2,1730.6,1771.2,1860.6,1925.4,1996.9,2042.1,2114.8,2175.6,2265.1,
165,Pakistan,3057.0,3123.8,3276.3,3249.1,3286.4,3364.1,3440.2,3390.2,3393.2,3435.6,3501.8,3494.6,3532.5,3628.8,3818.0,4027.9,4190.2,4303.5,4287.4,4318.1,4296.6,4322.5,4380.2,4475.6,4590.1,
38,Sri Lanka,3679.2,3792.2,3923.0,4141.4,4313.4,4489.2,4608.9,4842.9,5012.1,5153.0,5449.1,5451.9,5630.9,5887.0,6123.8,6436.9,6855.8,7255.6,7608.7,7799.4,8341.8,8949.3,10027.6,10289.7,10667.2,
5855,Southern Asia (excluding India),3662.3,3887.2,3988.7,3934.7,3899.7,3960.2,4088.3,4080.6,4105.4,4143.1,4280.0,4312.6,4297.2,4504.7,4663.7,4847.9,5060.0,5352.4,5392.4,5483.3,5676.7,5823.2,5727.0,5730.3,5906.6,
5304,South-Eastern Asia,4717.9,4965.6,5205.0,5385.0,5698.1,6050.1,6381.1,6518.5,5897.5,5986.3,6233.7,6327.3,6553.3,6838.6,7169.1,7467.7,7796.2,8187.9,8433.5,8504.7,9026.3,9347.2,9782.0,10150.3,10478.3,
26,Brunei Darussalam,77073.3,77264.9,78672.8,76732.2,77023.8,78403.9,78676.7,75693.0,73577.3,74198.2,74755.9,75321.6,76800.6,77635.0,76679.0,75659.7,77643.7,76453.5,73724.9,71246.3,71941.6,73265.1,72853.0,70535.3,67911.9,
115,Cambodia,,,,1011.1,1066.0,1098.7,1123.7,1153.7,1180.0,1288.8,1370.8,1451.2,1519.8,1621.0,1759.8,1961.9,2140.3,2323.9,2442.9,2408.6,2513.3,2648.7,2795.2,2955.2,3112.6,
101,Indonesia,4477.3,4793.1,5053.0,5331.2,5642.6,6022.6,6386.6,6590.3,5644.5,5610.4,5805.8,5935.7,6119.5,6326.5,6556.6,6838.4,7119.9,7472.8,7819.1,8074.5,8465.3,8870.3,9282.7,9674.6,10033.5,
120,Lao People's Democratic Republic,1621.1,1642.9,1685.9,1737.4,1831.2,1913.5,2001.4,2095.7,2138.2,2254.6,2346.7,2444.2,2552.4,2670.0,2799.7,2953.7,3156.7,3338.9,3537.2,3736.0,3985.0,4233.4,4498.1,4799.8,5076.2,
131,Malaysia,10451.5,11143.9,11821.4,12664.0,13484.8,14439.1,15483.3,16200.1,14638.7,15170.5,16146.2,15890.4,16417.0,17040.8,17864.5,18478.5,19163.6,20014.4,20621.3,19968.8,21101.9,21866.3,22706.4,23418.8,24459.8,
28,Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Philippines,4010.2,3888.9,3808.0,3796.6,3871.1,3959.7,4097.2,4214.9,4100.0,4136.1,4227.3,4258.3,4321.8,4444.9,4651.5,4786.3,4953.8,5200.1,5336.2,5318.3,5638.2,5754.1,6041.8,6365.0,6648.6,
200,Singapore,34316.3,35583.4,36977.8,40213.5,43230.5,44883.8,46342.1,48527.9,45862.9,48271.1,51663.0,49809.5,51435.0,54515.2,58977.1,61921.2,65330.9,68375.4,65990.8,63643.6,72055.9,74949.1,75630.4,77720.9,78958.1,
216,Thailand,6650.7,7138.7,7644.2,8207.3,8790.4,9417.1,9847.6,9471.1,8647.2,8937.1,9228.2,9437.4,9905.0,10505.6,11066.1,11449.1,11961.5,12577.5,12775.4,12663.0,13584.2,13654.3,14597.2,14943.4,15011.6,
