,(table of contents),V_2.4 - Gross domestic product per capita (in purchasing power equivalent),,,,,,,,,,,,,,,,,,,,,,,,,
,(home),(constant 2011 international $),,,,,,,,,,,,,,,,,,,,,,,,,
FAOST_CODE,Regions/Subregions/Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,
162,Norway,43295.9,44419.3,45742.3,46764.6,48849.8,50615.6,52891.7,55385.8,56501.9,57246.1,58698.8,59620.4,60152.3,60350.6,62370.2,63572.8,64573.3,65780.9,65215.8,63353.6,62946.0,62736.7,63620.0,63321.9,64004.1,
173,Poland,10139.9,9395.1,9601.9,9935.6,10439.4,11150.0,11836.6,12667.1,13293.3,13895.9,14639.9,14820.5,15041.4,15587.8,16397.9,16987.0,18050.4,19360.8,20117.1,20633.0,21457.4,22520.0,22871.8,23175.0,23975.8,
174,Portugal,20281.5,21216.3,21464.1,20999.9,21145.5,21974.9,22658.0,23555.4,24559.7,25370.8,26147.2,26468.0,26525.9,26179.6,26590.2,26744.4,27110.8,27731.9,27747.2,26895.2,27393.3,26932.4,25952.5,25800.4,26184.1,
146,Republic of Moldova,6439.7,5397.7,3824.9,3784.1,2621.9,2596.4,2466.3,2515.0,2352.5,2276.1,2328.6,2476.2,2675.5,2860.2,3079.7,3318.4,3487.3,3602.6,3889.7,3661.4,3925.0,4179.2,4150.5,4541.7,4753.5,
183,Romania,11181.2,9821.7,9042.0,9192.7,9568.1,10271.8,10700.1,10214.1,10021.7,9997.1,10249.8,10975.1,11757.3,12496.6,13618.5,14274.6,15516.1,16827.8,18558.0,17390.8,17354.7,17624.5,17816.6,18514.5,19098.2,
185,Russian Federation,19349.1,18331.6,15660.9,14319.6,12535.2,12012.6,11597.0,11778.8,11173.0,11925.0,13172.7,13902.3,14629.0,15767.6,16967.3,18118.1,19659.6,21374.1,22505.7,20739.3,21663.6,22569.8,23299.2,23561.4,23292.9,
190,Saint Pierre and Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,
192,San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Serbia,,,,,,7167.3,,7898.5,,7160.7,,8141.5,,,,,11130.0,11833.3,12521.5,12180.1,12300.6,12571.9,12504.8,12888.9,12716.9,
186,Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Slovakia,,,11361.8,11533.7,12201.3,12876.5,13717.5,14523.0,15085.4,15039.1,15241.7,15776.0,16495.5,17400.8,18319.7,19489.7,21142.5,23426.4,24729.4,23340.3,24503.6,25167.5,25507.4,25843.8,26470.6,
198,Slovenia,,,,,,18244.7,18898.0,19891.3,20589.7,21660.2,22493.6,23120.6,23977.8,24644.4,25700.4,26682.9,28102.3,29885.5,30823.0,28163.9,28388.4,28513.5,27680.2,27350.3,28153.0,
203,Spain,24112.2,24669.8,24817.0,24484.8,25001.0,25630.3,26255.1,27152.1,28222.4,29336.6,30629.8,31470.1,31848.5,32274.7,32727.1,33377.0,34187.4,34825.2,34656.5,33123.3,32975.7,32530.1,31657.1,31230.0,31801.9,
210,Sweden,30901.2,30339.6,29812.7,29027.8,30000.4,31044.3,31465.4,32359.5,33708.6,35208.2,36816.3,37291.6,37941.2,38702.1,40215.7,41184.1,42873.0,44005.3,43420.6,40820.2,42897.6,43709.2,43262.8,43430.2,44033.9,
211,Switzerland,46599.7,45599.4,45079.7,44614.8,44822.5,44738.1,44808.7,45734.4,46941.5,47485.9,49083.1,49479.1,49176.6,48837.4,49881.7,51069.1,52786.1,54482.5,55019.7,53179.3,54182.9,54550.7,54581.5,54911.9,55260.3,
154,The former Yugoslav Republic of Macedonia,9627.3,9068.5,8522.1,7934.2,7829.6,7752.7,7825.5,7893.7,8099.1,8386.7,8712.9,8405.8,8501.4,8667.9,9053.1,9460.1,9924.5,10545.9,11102.1,11042.7,11394.1,11641.2,11569.2,11858.8,12287.4,
230,Ukraine,10490.4,9588.0,8633.2,7400.9,5732.0,5072.6,4606.0,4508.7,4462.8,4496.1,4809.5,5305.0,5636.6,6216.7,7022.0,7264.6,7847.8,8518.5,8761.7,7498.2,7844.2,8281.9,8319.0,8337.9,8267.1,
229,United Kingdom,26001.2,25600.4,25645.4,26260.8,27248.4,28513.3,29199.6,30027.0,30950.5,31807.7,32898.3,33675.7,34369.8,35351.6,36025.8,36851.3,37555.2,38227.5,37750.8,35895.7,36164.0,36590.2,36765.1,37321.0,38178.0,
231,United States of America,37062.1,36543.1,37321.1,37843.6,38891.7,39476.3,40500.8,41811.6,43166.1,44672.5,45986.1,45977.5,46366.6,47260.0,48597.3,49762.2,50598.9,51011.4,50383.8,48557.9,49372.8,49781.4,50549.2,51281.6,52117.7,
5801,Least developed countries,1253.6,1242.6,1225.1,1219.4,1214.3,1238.8,1270.4,1298.2,1322.4,1345.6,1368.8,1409.0,1416.1,1450.9,1502.4,1568.1,1628.1,1705.1,1792.7,1833.4,1890.2,2060.2,1993.9,2052.3,2068.1,
5802,Landlocked developing countries,2857.5,2679.0,2395.0,2254.0,2076.6,2021.3,2050.8,2072.6,2073.1,2104.3,2151.8,2242.1,2225.5,2293.6,2406.5,2554.8,2739.2,2931.1,3064.0,3107.4,3252.1,3367.0,3432.2,3568.1,3668.9,
5803,Small island developing States,11662.0,11366.9,11277.8,11312.7,11703.5,12047.2,12527.4,12940.5,11165.2,11440.9,11906.6,12044.3,12317.8,12720.6,13297.8,13975.0,14811.9,15401.8,15391.7,15141.2,15982.1,16409.4,16560.5,16942.8,15494.8,
5858,Low income economies,1246.9,1225.2,1174.1,1155.8,1151.9,1167.3,1196.1,1207.9,1230.0,1245.9,1254.7,1284.3,1280.6,1296.1,1336.8,1389.2,1438.4,1502.2,1573.0,1613.8,1676.8,1738.2,1784.0,1845.5,1911.5,
5859,Lower-middle-income economies,2881.0,2861.7,2877.8,2891.7,2930.2,3021.9,3142.1,3204.9,3169.8,3263.4,3346.1,3428.1,3500.7,3662.4,3896.1,4095.1,4331.6,4593.2,4728.2,4894.8,5181.6,5381.2,5557.3,5786.4,6051.6,
5816,Low-income food-deficit countries,1899.7,1871.9,1877.8,1897.1,1939.1,2004.0,2087.3,2126.4,2178.9,2268.0,2309.2,2363.6,2385.5,2497.5,2674.0,2821.0,2991.1,3185.3,3269.5,3430.4,3665.9,3817.1,3958.4,4140.7,4351.3,
