country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Low & middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05E+13,1.11E+13,1.15E+13,1.23E+13,1.30E+13,1.38E+13,1.48E+13,1.58E+13,1.63E+13,1.72E+13,1.86E+13,1.98E+13,2.09E+13,2.27E+13,2.52E+13,2.80E+13,3.16E+13,3.53E+13,3.85E+13,4.02E+13,4.39E+13,4.79E+13,5.11E+13,5.43E+13,5.80E+13,6.10E+13,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1409605279,1569300276,1717633899,1817958080,1962978505,2078336417,2223943265,2349159637,2412266537,2463650702,2619639166,2784256457,2869602125,3076508651,3216831226,3418986722,3677666786,3932656523,4279760744,4405811160,4738259877,5174665953,5558069190,5761874242,6131408842,6297275970,
Late-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28E+12,5.52E+12,5.70E+12,6.10E+12,6.51E+12,7.03E+12,7.53E+12,8.06E+12,8.36E+12,8.86E+12,9.70E+12,1.05E+13,1.13E+13,1.24E+13,1.37E+13,1.53E+13,1.76E+13,1.99E+13,2.20E+13,2.30E+13,2.52E+13,2.79E+13,3.00E+13,3.19E+13,3.41E+13,3.59E+13,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21484825868,22977214159,25258419741,27525504489,27565435258,29575011738,32880055038,36132795786,41211140416,44039495676,48263199164,53933716273,61678921363,66344141095,57452774642,62347214340,69178303536,73642594298,78931212961,82302989189,83591292886,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11786996790,13232130888,13780035205,14700523507,15587010472,16139997620,17098431277,17925294305,18841144487,21760269624,23923018937,24479418130,25880672438,26792477445,29073378999,31418705085,36428692149,39847464589,41828353027,40213194840,42779941251,46654454375,48053132478,52033495631,55483062050,59146295788,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13679542523,14243914811,15764945835,17037679713,17702205117,18971445542,21165099317,23263518959,25226841084,27662305193,31001925402,34964795584,39874556217,42310110858,36170906323,36901388552,40660287491,43161731885,45655825027,47619746830,49238809758,
"Macao SAR, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7996499054,8568382118,9929275183,10694125575,11391344335,12012685663,12183055728,12354394459,11914001622,11806012415,12762916213,15073632571,16674410244,18988842696,24731143919,27584321019,32217241013,37853126771,39905503553,40739762186,51655480932,64148196572,71359595118,80633859348,81378103431,65516088422,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63455192137,70298701149,70392896349,71533999817,80791543783,78018364844,89271970321,89382747740,96893013106,99439557520,1.04E+11,1.14E+11,1.19E+11,1.29E+11,1.39E+11,1.48E+11,1.64E+11,1.74E+11,1.88E+11,1.98E+11,2.08E+11,2.23E+11,2.34E+11,2.49E+11,2.59E+11,2.74E+11,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6981299770,6690961782,6917568444,6535169731,6411689157,6695803758,7266146572,7953150855,8647116067,9542369318,10588113871,11437252576,12093885454,13292948029,12590265305,13648863033,14877946210,15045941577,16726094467,17842776754,17944577102,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12393037517,11997571353,12416615544,12978554803,13245264195,13753034782,14305040074,15087269779,15850726149,16843098435,18046352734,19568357859,17350632424,19428208368,21011855585,22686215320,24557642398,26784528829,29256730053,28295673249,28716620554,29735787033,31200372027,32419256006,34093895783,35513203138,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650601619,1766324483,2063681484,2399473635,2275456218,2811812281,3180273096,3653559393,3485322223,3780726011,4194858489,4378783239,4658618260,5026418563,5225122523,
Middle East & North Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84E+12,1.93E+12,2.07E+12,2.17E+12,2.27E+12,2.40E+12,2.57E+12,2.72E+12,2.88E+12,3.02E+12,3.25E+12,3.40E+12,3.54E+12,3.75E+12,4.18E+12,4.54E+12,4.98E+12,5.43E+12,5.81E+12,5.97E+12,6.35E+12,6.70E+12,7.01E+12,7.31E+12,7.66E+12,7.98E+12,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.15E+11,5.55E+11,5.88E+11,7.67E+11,8.20E+11,7.53E+11,8.03E+11,8.74E+11,9.23E+11,9.83E+11,1.06E+12,1.07E+12,1.09E+12,1.13E+12,1.21E+12,1.32E+12,1.46E+12,1.55E+12,1.64E+12,1.63E+12,1.73E+12,1.90E+12,1.99E+12,2.05E+12,2.16E+12,2.16E+12,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88212045.77,91228304.26,99970830.92,108496754.8,117318554.8,129602048.8,118371428.1,112636941.8,110620939.6,109621460.5,118720324.6,127938350.1,133300418.8,136189814.5,139857102.3,148327322.5,155825078,165658605.6,166145062.7,164545004,177277210.5,183971631.1,194292410.7,202087765,203752370,207251139.7,
Middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03E+13,1.08E+13,1.13E+13,1.21E+13,1.27E+13,1.35E+13,1.45E+13,1.55E+13,1.60E+13,1.69E+13,1.82E+13,1.94E+13,2.05E+13,2.22E+13,2.47E+13,2.75E+13,3.11E+13,3.47E+13,3.79E+13,3.95E+13,4.31E+13,4.71E+13,5.03E+13,5.34E+13,5.71E+13,6.00E+13,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10491359390,10171619541,9720477180,9208429335,9239052021,9326610454,9609420521,9914628240,10387304852,10977905353,12457849682,12344255335,12919271008,13351874808,14574499050,15987086813,17721804605,19083218989,21537236737,22605639278,23390230361,24064082357,24558825220,26293430873,27973163086,29257308598,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6958405978,8034499631,7953151692,8400667890,8903742638,9173161751,9999677015,10661973314,11593733380,12442221723,12717605481,15007480244,15711198784,17485768802,18246857073,20064730486,21645367415,22997754841,24568186514,25913057622,27649470569,29134739169,29423309954,30587235765,33327793582,35694951709,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3307205980,3631089051,3888076355,4158943807,4487479563,4871628258,5195468043,5787658695,6107763183,6574207686,7571902972,7729396399,8141797693,8344848895,8593676499,8978222532,9418215865,10120724685,10722860631,10793032705,11549343622,11974071551,12434810586,13296203269,13884472310,14681635793,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19508994883,20027200667,22462652285,24385986578,26767334772,29224212595,31674921160,34037811255,36425608915,41030879558,47732962610,54358973914,61830747862,71794222735,83774792580,98203482601,1.14E+11,1.32E+11,1.48E+11,1.65E+11,1.83E+11,1.97E+11,2.15E+11,2.37E+11,2.61E+11,2.83E+11,
Middle East & North Africa (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15E+12,1.16E+12,1.24E+12,1.29E+12,1.34E+12,1.41E+12,1.52E+12,1.61E+12,1.74E+12,1.85E+12,1.98E+12,2.08E+12,2.19E+12,2.29E+12,2.54E+12,2.75E+12,2.99E+12,3.27E+12,3.46E+12,3.60E+12,3.84E+12,3.92E+12,4.01E+12,4.15E+12,4.34E+12,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3628499390,4123316967,4329148097,4489233886,4809169989,5106746238,6368243863,7638319365,8475712409,8026634534,8462199753,8974058270,8603974905,9245838336,9582137273,9985754174,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7231401428,6822509251,6332112680,6277344724,6547768847,7110555811,7402191710,7822259400,8171244784,8551017883,8845827976,9314559623,9905173510,10810344637,12287826453,13603201461,15220808721,17227228960,19128524324,19029285854,20487738266,24526362150,28055413465,31829442759,34954059827,36162929570,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3241159313,3513144741,3405254983,3791921568,4111127957,4290769849,5541999144,6247999794,7064822987,7734074558,8042835633,9272566293,10242864498,11126238702,12325168039,13831168695,15660475302,17271159861,18820849624,20168259027,21779856569,23811739934,25995950739,28302319048,30953527454,33354518025,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3682846139,3873474561,4036020974,4374750005,4331101563,4855610367,5231949586,5106256282,5305053431,5801668944,5908148109,6164176308,6300425401,6810225542,7399663013,8322820117,10197208678,10763578502,11093241544,11061008925,11730570519,12535969842,13506740050,14560755248,15444865633,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5054961013,5454888991,5942594766,6393176562,6799290215,7238717573,7782736613,8366155647,8970339846,9345394665,10420819349,10932598322,11335014134,11983811349,13020828220,13606631264,15222124854,16522211178,17753817487,18481668542,19526254955,20742028226,21862630850,22962252093,24248589913,25359637208,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4539455086,5100047457,4833795068,5428433842,4976246740,5929864969,6479907673,6840762725,7184359413,7516216227,7808406247,7589033958,7836529181,8448833988,9151715081,9754954028,10527220880,11844894661,12999915354,14189510517,15350123280,16427533196,17045633652,18221609779,19605067594,20376038711,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23E+11,1.39E+11,1.55E+11,1.74E+11,1.95E+11,2.18E+11,2.44E+11,2.67E+11,2.50E+11,2.69E+11,3.00E+11,3.08E+11,3.30E+11,3.56E+11,3.90E+11,4.24E+11,4.62E+11,5.19E+11,5.47E+11,5.37E+11,5.81E+11,6.25E+11,6.71E+11,7.14E+11,7.70E+11,8.17E+11,
North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54E+12,6.74E+12,7.12E+12,7.49E+12,7.96E+12,8.35E+12,8.81E+12,9.36E+12,9.88E+12,1.05E+13,1.12E+13,1.16E+13,1.19E+13,1.25E+13,1.34E+13,1.43E+13,1.51E+13,1.58E+13,1.61E+13,1.57E+13,1.63E+13,1.69E+13,1.76E+13,1.82E+13,1.90E+13,1.96E+13,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5229495146,5844793311,6407809266,6456645807,6708120955,7115036355,7476134197,7924988665,8274683853,8684376797,9192166928,9512393899,10120930066,10760410351,12412848643,13136304637,14497586887,15868266167,16608267430,16783925351,18014918715,19322996885,20675021622,22196845090,24053566054,25599757011,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4631306293,4905297572,4690178707,4871369000,5174266680,5419826000,5707459629,5965014652,6658186753,6721629933,6777684078,7424623673,7764692738,8339259909,8577134869,9251506263,10088809961,10683207092,11937133416,11942069578,13099591317,13679084421,15576828741,16662295458,18156297819,19013277317,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87E+11,1.92E+11,1.98E+11,2.06E+11,2.13E+11,2.17E+11,2.32E+11,2.42E+11,2.51E+11,2.56E+11,2.76E+11,2.95E+11,3.11E+11,3.50E+11,4.81E+11,5.13E+11,5.73E+11,6.28E+11,6.80E+11,7.33E+11,8.00E+11,8.57E+11,9.10E+11,9.74E+11,1.05E+12,1.09E+12,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8089620153,8342942789,8566016779,8735522556,9219188659,9967868618,10793770302,11413985092,11966104537,13004040299,13845459244,14580268102,14915707208,15596617301,16876781653,18165801316,19501332651,21078957342,22105347178,21658657843,22622820086,24528765813,26377154192,28018197002,29821811604,31628389092,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83E+11,2.99E+11,3.11E+11,3.23E+11,3.39E+11,3.57E+11,3.76E+11,4.01E+11,4.29E+11,4.58E+11,5.03E+11,5.28E+11,5.49E+11,5.47E+11,5.77E+11,6.08E+11,6.64E+11,7.12E+11,7.54E+11,7.29E+11,7.41E+11,7.69E+11,7.83E+11,8.19E+11,8.27E+11,8.40E+11,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78175913424,83269746142,88212166679,92880594905,99652676199,1.06E+11,1.17E+11,1.26E+11,1.25E+11,1.36E+11,1.66E+11,1.71E+11,1.72E+11,1.76E+11,1.95E+11,2.21E+11,2.52E+11,2.63E+11,2.94E+11,2.68E+11,2.84E+11,3.07E+11,3.28E+11,3.40E+11,3.38E+11,3.22E+11,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14517163458,15955615210,16989469639,18063324661,19963402718,21086637427,22615652339,24164038261,25163071725,26675478456,28973998272,31056662411,31571345140,33471233015,36002020704,38453314321,40968257730,43493414038,47053785295,49560311858,52581800527,55503825717,59228862722,62670395137,67612933589,70202856821,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73811352.87,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49520845747,50915400825,52685243101,57019536881,61888465374,65779094994,68914582209,72349933631,73735673916,78922532168,82978470009,87342016958,92025525507,96505932528,1.03E+11,1.06E+11,1.16E+11,1.24E+11,1.27E+11,1.32E+11,1.36E+11,1.44E+11,1.46E+11,1.61E+11,1.67E+11,1.73E+11,
OECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78E+13,1.86E+13,1.95E+13,2.04E+13,2.15E+13,2.25E+13,2.37E+13,2.50E+13,2.60E+13,2.72E+13,2.91E+13,3.03E+13,3.14E+13,3.26E+13,3.46E+13,3.65E+13,3.91E+13,4.13E+13,4.26E+13,4.18E+13,4.36E+13,4.56E+13,4.70E+13,4.88E+13,5.05E+13,5.21E+13,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41043410377,44985534758,49882315009,54155233904,57451332000,61580194810,64614311788,69685423726,72302996608,73317845115,79036491739,84461165830,84813929962,84196370956,87629362814,92701552364,1.01E+11,1.08E+11,1.19E+11,1.27E+11,1.35E+11,1.36E+11,1.52E+11,1.61E+11,1.68E+11,1.79E+11,
Other small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21E+11,2.37E+11,2.52E+11,2.68E+11,3.02E+11,3.30E+11,3.79E+11,4.30E+11,4.77E+11,4.97E+11,5.47E+11,6.03E+11,6.38E+11,6.70E+11,7.03E+11,7.27E+11,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13E+11,2.31E+11,2.54E+11,2.65E+11,2.81E+11,3.01E+11,3.21E+11,3.30E+11,3.42E+11,3.60E+11,3.84E+11,4.00E+11,4.20E+11,4.49E+11,4.95E+11,5.50E+11,6.02E+11,6.48E+11,6.72E+11,6.96E+11,7.16E+11,7.51E+11,7.91E+11,8.39E+11,8.94E+11,9.47E+11,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12482385330,14112713748,15618285154,16862252078,17711930092,18398070714,19498226256,21113278820,22909265538,24170987421,25392270608,26120079338,27112249078,28815823439,31835329178,35222705760,39446105090,45348921234,50220386483,51410575564,55039719420,62809393855,69870441117,75701930648,81721794802,87373244561,
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74947584500,79160868273,80527755037,86766720889,99520073082,1.09E+11,1.14E+11,1.24E+11,1.25E+11,1.28E+11,1.35E+11,1.39E+11,1.49E+11,1.58E+11,1.70E+11,1.87E+11,2.07E+11,2.31E+11,2.57E+11,2.61E+11,2.87E+11,3.11E+11,3.36E+11,3.62E+11,3.77E+11,3.93E+11,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61E+11,1.65E+11,1.69E+11,1.77E+11,1.89E+11,2.02E+11,2.17E+11,2.32E+11,2.34E+11,2.45E+11,2.61E+11,2.75E+11,2.89E+11,3.10E+11,3.39E+11,3.67E+11,3.98E+11,4.36E+11,4.63E+11,4.72E+11,5.14E+11,5.44E+11,5.91E+11,6.43E+11,6.95E+11,7.44E+11,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166126768,159039233.3,142795866.4,156480681.7,177156567.8,199151304.6,207218664.9,213656763.9,205212483.5,207126529.6,220992979.8,239193936.3,228475877.4,251066468.4,262402855.6,263048832.6,269905803.6,259821899.2,238035771.9,248859933,266804583.5,280414277.6,278000855.5,295023084.6,326117786,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4317882519,4887548562,5691273293,6887273184,7451802167,7355237303,8068727100,7886397288,7671511756,7933438009,7911534379,8082015925,8193045441,8537260860,9010713554,9890752721,10428535191,11471746543,12470046846,13336410534,14535275349,16418209555,18072930517,19381744799,21412378018,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35E+11,2.26E+11,2.37E+11,2.52E+11,2.71E+11,2.96E+11,3.19E+11,3.45E+11,3.66E+11,3.87E+11,4.07E+11,4.26E+11,4.50E+11,4.68E+11,5.10E+11,5.30E+11,5.78E+11,6.40E+11,6.98E+11,7.35E+11,8.02E+11,8.70E+11,9.07E+11,9.41E+11,9.78E+11,1.02E+12,
Pre-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.50E+11,5.83E+11,6.09E+11,6.40E+11,6.63E+11,6.96E+11,7.53E+11,8.16E+11,8.99E+11,9.63E+11,1.02E+12,1.08E+12,1.11E+12,1.12E+12,1.40E+12,1.52E+12,1.70E+12,1.86E+12,2.02E+12,2.14E+12,2.30E+12,2.45E+12,2.64E+12,2.83E+12,3.01E+12,3.15E+12,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57781164059,60214126574,64086749991,68138850320,72360665371,76880212704,80548800523,84512627789,91192629207,94501378406,98113588194,1.10E+11,1.14E+11,1.18E+11,1.23E+11,1.28E+11,1.30E+11,1.29E+11,1.30E+11,1.27E+11,1.26E+11,1.26E+11,1.25E+11,1.26E+11,,,
"Korea, Dem. People‰Ûªs Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17E+11,1.27E+11,1.31E+11,1.31E+11,1.35E+11,1.44E+11,1.50E+11,1.60E+11,1.69E+11,1.81E+11,1.94E+11,2.03E+11,2.12E+11,2.18E+11,2.25E+11,2.39E+11,2.60E+11,2.71E+11,2.81E+11,2.80E+11,2.89E+11,2.83E+11,2.78E+11,2.92E+11,3.01E+11,3.08E+11,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16440216538,17580912715,18286724745,19645989758,21131074358,23043602715,23833554295,25269913365,25561535666,25598176941,25574809625,25939464372,26332030688,28017534589,29955986008,31579532235,34114444794,36921124249,40039286954,38743464282,44351295738,47232661526,47506734022,55049839778,58681605313,61069963183,
Pacific island small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4584339002,4707494634,5055711712,5295294713,5670330672,6009717592,6345724497,6363757675,6549440682,7010082799,7096914614,7361710660,7655882283,7943310686,8513709822,8948509967,9427464368,9757266399,10106632245,10013546123,10434483971,10948688431,11375821333,11985580270,12670358198,13379288838,
Post-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72E+13,1.80E+13,1.87E+13,1.94E+13,2.04E+13,2.14E+13,2.24E+13,2.35E+13,2.45E+13,2.57E+13,2.74E+13,2.86E+13,2.97E+13,3.08E+13,3.27E+13,3.44E+13,3.68E+13,3.88E+13,4.00E+13,3.91E+13,4.07E+13,4.23E+13,4.36E+13,4.53E+13,4.68E+13,4.81E+13,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50852406759,54038779563,58809069760,62213052205,76209186657,84555225538,1.10E+11,1.33E+11,1.60E+11,1.80E+11,2.18E+11,2.52E+11,2.69E+11,2.86E+11,3.02E+11,3.16E+11,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22E+11,1.10E+11,1.02E+11,1.06E+11,1.13E+11,1.24E+11,1.31E+11,1.26E+11,1.26E+11,1.27E+11,1.32E+11,1.46E+11,1.56E+11,1.69E+11,1.96E+11,2.07E+11,2.48E+11,2.81E+11,3.35E+11,3.26E+11,3.48E+11,3.65E+11,3.81E+11,3.97E+11,4.14E+11,4.38E+11,
Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19E+12,1.17E+12,1.02E+12,9.53E+11,8.51E+11,8.33E+11,8.17E+11,8.43E+11,8.06E+11,8.71E+11,1.00E+12,1.08E+12,1.17E+12,1.34E+12,1.47E+12,1.70E+12,2.13E+12,2.38E+12,2.88E+12,2.77E+12,2.93E+12,3.44E+12,3.63E+12,3.47E+12,3.67E+12,3.58E+12,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3990097237,4019242581,4352282952,4094525202,2080457741,2871955725,3297118002,3818006436,4201336762,4589012318,5083869312,5650487491,6512359622,6738620622,7404875988,8171431925,9200318839,10164217283,11520432514,12335505941,13399237561,14749703250,16341533848,17383335183,18934793018,20459878390,
South Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36E+12,1.44E+12,1.56E+12,1.66E+12,1.80E+12,1.96E+12,2.13E+12,2.25E+12,2.40E+12,2.62E+12,2.79E+12,2.98E+12,3.13E+12,3.43E+12,3.79E+12,4.25E+12,4.76E+12,5.28E+12,5.58E+12,6.05E+12,6.67E+12,7.23E+12,7.77E+12,8.39E+12,9.12E+12,9.87E+12,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.74E+11,4.21E+11,4.51E+11,4.62E+11,4.75E+11,4.86E+11,5.11E+11,5.33E+11,5.54E+11,5.59E+11,5.99E+11,6.16E+11,6.27E+11,6.88E+11,7.72E+11,8.55E+11,9.30E+11,1.01E+12,1.12E+12,1.15E+12,1.22E+12,1.37E+12,1.47E+12,1.53E+12,1.61E+12,1.69E+12,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29203441165,32441934972,35364096082,37859638904,39054403920,42259930390,45578490724,51257155919,54045811026,56576192781,61535542493,67029065332,72432321962,79590721488,84954983758,94256168924,1.07E+11,1.22E+11,1.35E+11,1.40E+11,1.47E+11,1.47E+11,1.50E+11,1.59E+11,1.66E+11,1.77E+11,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8995270171,9532234683,9870679019,10236979015,10453023849,11243378469,11678993155,12249979703,13113351465,14160779227,14944531841,15985300698,16336974170,17776351730,19337457294,21081920306,22264502800,23985827434,25356946952,26168626150,27595276081,28661034906,30476564717,32048092111,34028210937,36624866572,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67548674975,74464422816,81559926913,93134221366,1.06E+11,1.15E+11,1.26E+11,1.39E+11,1.37E+11,1.48E+11,1.65E+11,1.67E+11,1.77E+11,1.88E+11,2.12E+11,2.35E+11,2.64E+11,2.95E+11,3.07E+11,3.07E+11,3.58E+11,3.88E+11,4.10E+11,4.36E+11,4.58E+11,4.73E+11,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361308846.6,395750763.1,456139492.3,485561996,541487130.3,598239238.9,618938536,620468489.9,638390611.3,645032017.7,565585858.3,532320998.9,525358977.7,570664211.6,615077772.6,669286212,737769827.6,812846373.5,887589824.9,852047685.7,921925182.1,1062611217,1132621508,1185606409,1225025050,1284445380,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3485536986,3686260662,3053448849,3169068147,3173482837,2980505706,3088143444,2956398154,3041827490,3027249436,3302112539,3136209795,4020839129,4485790119,4904929887,5282095762,5745222949,6373412348,6849328423,7222223512,7702647247,8239839598,9665618312,11856363228,12618573996,10127102610,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15385273775,16465930358,18111674125,19909099316,21563000002,23420794641,24255108679,25717818454,26971476114,28328735444,29597057218,30788866265,31993290347,33381785900,34934419934,37343180060,39996189229,42637253848,44027584381,42972064889,44090542585,45998442862,47726905702,49393590163,50994501085,52808578088,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37159217143,38755576817,42251060561,43747630945,39021947365,43006592182,46160131108,50982943928,53840949717,60229292344,64786639079,71267080387,77300277201,87627895069,86691882449,88216846518,93810865402,94365827053,98668341471,98444967815,1.00E+11,
Sub-Saharan Africa (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.37E+11,8.67E+11,8.76E+11,9.00E+11,9.35E+11,9.86E+11,1.06E+12,1.11E+12,1.16E+12,1.20E+12,1.27E+12,1.36E+12,1.42E+12,1.52E+12,1.75E+12,1.91E+12,2.10E+12,2.31E+12,2.49E+12,2.59E+12,2.77E+12,2.96E+12,3.12E+12,3.33E+12,3.56E+12,3.72E+12,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33076445295,35007899541,37382086137,36383425753,19978529362,22966674909,24166545947,22875526538,
Sub-Saharan Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.38E+11,8.68E+11,8.77E+11,9.01E+11,9.36E+11,9.86E+11,1.06E+12,1.12E+12,1.16E+12,1.20E+12,1.27E+12,1.36E+12,1.42E+12,1.52E+12,1.75E+12,1.91E+12,2.11E+12,2.31E+12,2.49E+12,2.59E+12,2.77E+12,2.96E+12,3.13E+12,3.34E+12,3.56E+12,3.72E+12,
Small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85E+11,3.04E+11,3.23E+11,3.45E+11,3.85E+11,4.18E+11,4.76E+11,5.33E+11,5.84E+11,6.01E+11,6.54E+11,7.14E+11,7.52E+11,7.89E+11,8.24E+11,8.51E+11,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231641977.7,240788338.2,261733571.2,279236542.6,308667126.4,347151651.5,367986064.4,405919411.6,418925646.5,452334225.2,481978562.2,506279459.3,539225902.7,582952662.5,612636173.4,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2792829815,2966075356,3027577841,2874746733,3031259788,3128412704,3226119138,3469567758,3562081459,3585090164,3664151068,3918287001,4149508193,4486616590,5036687817,5436370262,5818679997,6278871141,6667300726,6920392826,7366176807,7914263444,8307583421,8681306607,8999585484,9069126393,
