country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2237979770,2222284648,2143384633,2211936423,2304189559,2399839620,2540571847,2706541815,2838250470,2891075380,3088533214,3084135539,3156254727,3289089057,3427071858,3677597364,4005455601,4184602582,4283585296,4142079383,4203391582,4322618070,4415379190,4483451896,4572779723,4662763817,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14162413943,15094182847,16172904569,16608130592,17495082573,18659869338,19547410468,19589467261,19691466924,20603021632,21672273276,22774411461,24019411868,25209794199,26033626801,26975422859,29026929791,29845498438,29840677852,29536750113,30674522788,32480415591,33380677923,33198634079,32998956311,33164943527,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807467719.9,830941297.3,888985219.8,928215150.1,994907511.9,1087506908,1168986422,1252888267,1341385647,1470647931,1608393322,1780002948,2001215501,2197559185,2391126003,2643853103,2911729974,3525063410,3765596226,4046781423,4576726814,5039821055,5392970630,5597477745,6025050637,6485191776,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7223077601,8020179340,8442290761,8808767042,9322604954,10186131610,10976756698,12060758331,12279671326,13672861747,14261949622,14623516441,15749209924,16806327447,17735708187,19140535947,21378657594,23764167882,25743618767,23954182471,26323148831,28491602187,30309452906,33835730909,35545339255,35836184071,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1771362951,1820209677,1742105067,1789534126,1917170137,2098072238,2050916735,2196575882,2324776994,2445325701,2438709624,2605648733,2741329689,2645080017,2880742046,3000438943,3240171990,3479669084,3620805765,3710661655,3870412845,4080711502,4326803265,2783101446,2862391719,3032058545,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.59E+11,5.65E+11,5.83E+11,6.13E+11,6.54E+11,6.86E+11,7.09E+11,7.52E+11,7.90E+11,8.44E+11,8.98E+11,9.35E+11,9.68E+11,1.02E+12,1.08E+12,1.17E+12,1.24E+12,1.30E+12,1.34E+12,1.30E+12,1.36E+12,1.43E+12,1.46E+12,1.55E+12,1.60E+12,1.58E+12,
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.61E+11,7.11E+11,7.14E+11,7.43E+11,7.91E+11,8.54E+11,9.08E+11,9.49E+11,9.90E+11,1.02E+12,1.08E+12,1.16E+12,1.24E+12,1.32E+12,1.43E+12,1.52E+12,1.68E+12,1.86E+12,2.05E+12,2.05E+12,2.17E+12,2.31E+12,2.38E+12,2.49E+12,2.59E+12,2.70E+12,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85E+11,1.89E+11,1.93E+11,1.98E+11,2.05E+11,2.10E+11,2.16E+11,2.25E+11,2.34E+11,2.42E+11,2.56E+11,2.67E+11,2.75E+11,2.76E+11,2.89E+11,3.01E+11,3.36E+11,3.74E+11,4.00E+11,4.00E+11,4.14E+11,4.42E+11,4.61E+11,4.84E+11,5.02E+11,5.18E+11,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57915964309,65261707798,75697104669,83744549387,91316142420,1.04E+11,1.15E+11,1.26E+11,1.32E+11,1.33E+11,1.49E+11,1.57E+11,1.64E+11,1.75E+11,1.91E+11,2.09E+11,2.55E+11,2.77E+11,2.74E+11,2.73E+11,3.11E+11,3.49E+11,3.72E+11,3.96E+11,4.07E+11,4.19E+11,
