,country,calories_reliancenorm,protein_reliancenorm,polyunsatFA_reliancenorm,vitaminA_reliancenorm,zinc_reliancenorm,iron_reliancenorm,mean
229,United States of America,0.302236184,0.294611051,0.096163209,0.268059603,0.596023837,0.418864033,0.329326319
130,United States Virgin Islands,NA,NA,NA,NA,NA,NA,NA
150,Uruguay,0.124215705,0.107025677,0.108278976,0.028242072,0.069030893,0.076395963,0.085531548
67,Uzbekistan,0.003800238,0.002933184,0.003569605,0.00202484,0.001220123,0.001082744,0.002438456
171,Vanuatu,NA,NA,NA,NA,NA,NA,NA
151,Venezuela (Bolivarian Republic of),0.330429592,0.317959383,0.204819985,0.026083368,0.264567558,0.215333639,0.226532254
93,Viet Nam,NA,NA,NA,NA,NA,NA,NA
172,Wallis and Futuna Islands,NA,NA,NA,NA,NA,NA,NA
105,West Bank and Gaza Strip,NA,NA,NA,NA,NA,NA,NA
106,Yemen,NA,NA,NA,NA,NA,NA,NA
26,Zambia,NA,NA,NA,NA,NA,NA,NA
27,Zimbabwe,0.033569655,0.040819356,0.030138233,0.05691178,0.019814243,0.033234867,0.035748022
