"","country","year","Q.balance","UV.balance","energy_adequacy","gdp","calories","protein","fat","vitaminA","calcium","iron","zinc","thiamin","riboflavin","niacin","b6","magnesium","polyunsatFA","polyunsatFA_percentseafood","calories_percentseafood","protein_percentseafood","vitaminA_percentseafood","thiamin_percentseafood","niacin_percentseafood","riboflavin_percentseafood","B6_percentseafood","iron_percentseafood","calcium_percentseafood","zinc_percentseafood","native","fishmeal","habitat","spp_farmed","prod_ratio","aq_gdp","Q.balance_q","UV.balance_q","prod_ratio_q","spp_farmed_q","energy_adequacy_q","gdp_q","calories_q","protein_q","fat_q","vitaminA_q","calcium_q","iron_q","zinc_q","thiamin_q","riboflavin_q","niacin_q","b6_q","magnesium_q","polyunsatFA_q","polyunsatFA_percentseafood_q","calories_percentseafood_q","protein_percentseafood_q","vitaminA_percentseafood_q","thiamin_percentseafood_q","niacin_percentseafood_q","riboflavin_percentseafood_q","B6_percentseafood_q","iron_percentseafood_q","calcium_percentseafood_q","zinc_percentseafood_q","vitamins_all","native_q","fishmeal_q","habitat_q","aq_gdp_q","trade","fs","reliance","nutrition","ecol","totscore"
"68","Guinea",2011,0.889945582,8.821939918,116,1183.9,2492.6251,45.063,59.4899,1246.2776,299.2509,16.5491,7.2391,1.0494,0.7922,14.5934,1.6124,340.9647,12.5295,0.007726278,0.004516082,0.048579322,0.001546662,0.01097713,0.053265517,0.014850568,0.025208695,0.007971962,0.02490589,0.009122267,NA,NA,NA,3,0.00163265306122449,NA,3,5,1,1,2,1,1,1,1,4,1,2,1,1,1,1,1,2,1,4,2,4,2,4,4,4,3,3,4,3,3.375,NA,NA,NA,NA,NA,1.5,3.36363636363636,1.38461538461538,NA,NA
"69","Guinea-Bissau",2011,0.604978416,1.170255814,105,1413.9,2400.0032,42.9944,70.8797,993.4139,243.7077,15.1878,7.7755,1.0304,0.72721,11.9531,1.4702,411.1362,13.1199,0.000695083,0.000514599,0.005698079,0.000157544,0.001168293,0.006201337,0.001336321,0.002977897,0.00053004,0.006420862,0.001256806,NA,NA,NA,NA,NA,NA,3,3,NA,NA,1,1,1,1,2,4,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1.25,NA,NA,NA,NA,NA,1,1.18181818181818,1.53846153846154,NA,NA
"70","Guyana",2011,2.604774329,1.302638945,115,6077.2,2482.1288,72.3709,48.3329,355.7086,512.756,27.3575,10.8929,2.2927,1.6631,27.085,1.5617,258.0553,5.8882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.00365548670353183,0.00702811327585072,5,3,2,3,2,2,1,2,1,1,3,4,2,4,3,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3.25,2,NA,2.23076923076923,NA,NA
"71","Haiti",2011,0.267707519,3.522997809,92,1562.3,1950.0236,47.7101,46.8411,1184.4689,289.4111,18.7248,7.8391,1.5004,0.85531,14.2243,1.4874,266.1549,14.2612,0.002863339,0.003274237,0.025955957,0.000537087,0.002627747,0.013509319,0.006856905,0.015731815,0.003572835,0.005056123,0.003636866,NA,NA,NA,5,0.0362976406533575,NA,2,5,3,2,1,1,1,1,1,4,1,3,1,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1.875,NA,NA,NA,NA,NA,1,1.90909090909091,1.53846153846154,NA,NA
"72","Honduras",2011,0.688699875,0.786404013,118,4433.7,2621.9446,65.2542,68.4982,4571.009,628.5356,26.8051,10.8536,2.047,1.5217,21.359,2.3784,472.4182,13.7472,0.001210074,0.000885743,0.006665073,3.38e-05,0.000669144,0.003165626,0.001752084,0.00310615,0.001229623,0.001387724,0.001567922,5,1,1,6,4.41920745101485,0.498082004693715,3,2,5,2,2,2,2,2,2,5,3,4,2,4,3,3,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,5,3.75,2,1,3.07692307692308,1.33333333333333,2.45673076923077
"73","Iceland",2011,3.396304905,0.201704522,133,39557.9,3014.8516,104.5555,123.5591,1253.441,1044.4423,12.8215,12.9869,1.4422,2.2146,22.4741,2.1004,373.1304,19.4106,0.045368953,0.042017856,0.193388009,0.021210659,0.059622875,0.215970339,0.057352795,0.164926781,0.070433101,0.025471326,0.086566232,3.4,4.6,6,13,0.00459615191382172,0.276542317295239,5,1,2,3,4,5,3,5,4,4,5,1,4,2,5,4,3,3,3,5,5,5,5,5,5,5,5,5,4,5,4.875,1,3,4,5,3.25,4.5,4.90909090909091,3.53846153846154,2.66666666666667,4.04938811188811
"74","India",2011,0.272767722,31.40128105,108,4685.9,2510.9233,66.1682,50.8858,317.7054,804.3658,21.9702,11.5156,0.23578,0.10875,17.826,14.7691,724.201,13.3527,0.001090559,0.00077407,0.005481083,0.001755879,0.000787366,0.002434853,0.002102841,0.000429495,0.002549868,0.010694848,0.001558475,10,1,1,27,0.853043701747012,0.0262856127220555,2,5,5,5,1,2,1,2,1,1,4,3,3,1,1,1,5,5,2,1,1,1,2,1,1,1,1,1,3,1,1.375,4,1,1,4,4,1.5,1.27272727272727,2.30769230769231,2,2.27010489510489
"75","Indonesia",2011,0.902629344,0.56295382,117,8870.3,2828.3075,59.684,62.3778,201.1079,268.2027,15.5995,7.2072,1.3964,1.0543,19.5788,1.5999,280.423,9.6671,0.025718867,0.011681495,0.083907546,0.041002919,0.016518878,0.084422431,0.031523969,0.059132396,0.015797314,0.022085993,0.028039918,10,4.8,2.4,44,1.39949242452427,0.199468542463544,4,2,5,5,2,2,3,1,2,1,1,2,1,1,1,2,1,1,1,5,4,4,5,5,5,5,5,4,4,4,4.625,4,3,1,5,4,2,4.54545454545455,1.38461538461538,2.66666666666667,2.98251748251748
"76","Iran",2011,0.131415694,0.610458827,126,17949.2,3352.2789,101.1076,84.2624,619.7117,646.4947,27.3842,16.8412,3.2122,1.8153,32.8725,3.4775,812.6142,25.065,0.002488922,0.002413589,0.011839763,0.002965855,0.001787519,0.010206227,0.004893234,0.006687471,0.002043219,0.002093098,0.00244599,1,3,6,11,0.506330617335018,0.00360121488280796,1,2,5,3,3,4,4,5,3,2,3,5,5,5,4,5,5,5,4,2,1,1,2,1,1,2,1,1,1,1,1.25,1,2,4,2,2.5,3.5,1.27272727272727,4.23076923076923,2.33333333333333,2.87587412587413
"77","Iraq",2011,8.99e-06,0.762425904,115,13226.9,2628.8807,73.1126,72.7625,181.7944,281.9637,19.7753,12.8702,2.3835,1.1006,25.4413,2.2118,609.3622,20.1084,0.000516167,0.000669194,0.004343574,0.00216675,0.000501997,0.002196999,0.001446711,0.002323212,0.000454896,0.001169271,0.000648475,NA,NA,NA,4,0.516470625535018,NA,1,2,5,1,2,3,2,3,2,1,1,3,3,4,1,4,4,5,3,1,1,1,2,1,1,1,1,1,1,1,1.125,NA,NA,NA,NA,NA,2.5,1.09090909090909,2.76923076923077,NA,NA
