"","country","year","Q.balance","UV.balance","energy_adequacy","gdp","calories","protein","fat","vitaminA","calcium","iron","zinc","thiamin","riboflavin","niacin","b6","magnesium","polyunsatFA","polyunsatFA_percentseafood","calories_percentseafood","protein_percentseafood","vitaminA_percentseafood","thiamin_percentseafood","niacin_percentseafood","riboflavin_percentseafood","B6_percentseafood","iron_percentseafood","calcium_percentseafood","zinc_percentseafood","native","fishmeal","habitat","spp_farmed","prod_ratio","aq_gdp","Q.balance_q","UV.balance_q","prod_ratio_q","spp_farmed_q","energy_adequacy_q","gdp_q","calories_q","protein_q","fat_q","vitaminA_q","calcium_q","iron_q","zinc_q","thiamin_q","riboflavin_q","niacin_q","b6_q","magnesium_q","polyunsatFA_q","polyunsatFA_percentseafood_q","calories_percentseafood_q","protein_percentseafood_q","vitaminA_percentseafood_q","thiamin_percentseafood_q","niacin_percentseafood_q","riboflavin_percentseafood_q","B6_percentseafood_q","iron_percentseafood_q","calcium_percentseafood_q","zinc_percentseafood_q","vitamins_all","native_q","fishmeal_q","habitat_q","aq_gdp_q","trade","fs","reliance","nutrition","ecol","totscore"
"136","Samoa",2011,1.118307652,1.023639668,127,5671.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0.000436604959832344,0,4,3,1,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.25,3,NA,NA,NA,NA
"137","Sao Tome and Principe",2011,0.673080868,0.471634364,121,2839.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"138","Saudi Arabia",2011,1.631346912,1.00160224,130,47474,3273.6675,86.2947,106.2653,343.4695,494.2891,23.2082,14.2468,2.5228,1.5688,29.0232,2.7451,642.7868,22.6252,0.00263938,0.002679948,0.016589777,0.005699167,0.00243316,0.011344011,0.005641684,0.009062239,0.002419787,0.003526054,0.004476105,9.7,1.3,4.9,19,0.249313751337603,0.00946745401878738,4,3,4,4,4,5,4,3,4,1,3,4,4,5,3,5,5,5,4,2,2,1,3,1,1,2,1,1,2,2,1.625,3,1,3,3,3.5,4.5,1.63636363636364,3.84615384615385,2.33333333333333,3.37062937062937
"139","Senegal",2011,0.269532161,3.678674347,109,2159,2478.4564,57.2835,73.5689,909.9625,246.9109,20.4641,13.9354,1.1845,0.83346,15.924,1.7505,421.6097,23.029,0.014096162,0.014059013,0.112362235,0.006544645,0.030397213,0.165726229,0.048173133,0.070003032,0.019187752,0.072478777,0.014467811,7,7.7,6,11,0.000783501196345877,0.00174885096376528,2,5,1,3,1,1,1,1,2,3,1,3,4,1,1,1,2,4,4,4,5,5,3,5,5,5,5,4,5,3,4.375,2,4,4,2,2.5,1,4.45454545454545,2.15384615384615,3.33333333333333,2.5270979020979
"140","Seychelles",2011,0.177102053,9.843241056,NA,22556.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,2,5,1,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.25,NA,NA,NA,NA,NA
"141","Sierra Leone",2011,0.708356598,1.055401292,106,1374.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.000371287128712871,NA,3,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"142","Singapore",2011,0.559339507,0.513559733,NA,74949.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,1.2230180042722,0.00321284711891137,3,1,5,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.75,NA,NA,NA,NA,NA
"143","Slovenia",2011,0.814998806,1.125875338,127,28513.5,3308.405,89.1357,132.6372,690.6633,848.7791,13.4741,10.8194,1.5616,2.0525,19.4334,2.0035,351.3882,27.1432,0.002881701,0.003602364,0.020872681,0.004024573,0.004988749,0.021789327,0.006095956,0.015486109,0.009732657,0.002821205,0.00791408,NA,NA,NA,28,1.57166811086979,0.00136080904032927,3,3,5,5,4,4,4,4,4,3,4,1,2,2,4,2,2,2,5,2,2,2,3,3,2,2,2,3,2,2,2.375,NA,NA,NA,2,3.25,4,2.27272727272727,3,NA,3.13068181818182
"144","Solomon Islands",2011,0.301029904,0.907809903,115,1976.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.208115381394001,0.0318285772110909,2,3,4,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.25,1.5,NA,NA,NA,NA
"145","Somalia",2011,6.597698869,0.732914792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","South Africa",2011,1.111196301,0.778605878,125,12290.9,2942.1025,79.1557,75.7549,589.1621,361.6843,30.9467,18.0919,3.2394,2.2263,31.7421,2.2326,491.5574,25.7319,0.002822887,0.002921227,0.019495008,0.002342293,0.002541571,0.018572423,0.004051328,0.012579293,0.003066514,0.018428043,0.003259289,2.4,9.6,7.1,27,0.0112295053458266,0.00718625367481867,4,2,2,5,3,3,3,3,2,2,2,5,5,5,5,5,4,4,4,2,2,2,2,2,2,1,2,1,4,1,1.875,1,4,5,3,2.75,3,1.90909090909091,3.76923076923077,3.33333333333333,2.85708041958042
"147","Spain",2011,0.923345622,0.862202822,127,32530.1,3405.5247,94.359,183.5232,560.1272,758.6642,14.8457,11.1157,1.7237,1.9419,21.4792,2.1398,337.3762,35.5618,0.006947444,0.013028301,0.077250183,0.018197938,0.015372611,0.062768166,0.022534013,0.048783017,0.042376803,0.013750998,0.038461347,10,9.6,6.8,80,0.269311168373956,0.0334932158935159,4,3,4,5,4,4,4,4,5,2,4,2,2,3,4,3,3,2,5,3,4,4,5,4,4,4,4,5,4,5,4.375,4,4,5,4,3.75,4,4.18181818181818,3.30769230769231,4.33333333333333,3.80987762237762
"148","Sri Lanka",2011,7.254664223,0.725660514,108,8949.3,2525.2946,58.5806,55.6124,280.089,403.9834,17.0676,11.4849,0.15403,0.14182,14.1329,3.9325,513.4398,4.1898,0.088149854,0.014222915,0.117675818,0.042896908,0.006980789,0.061475911,0.009730927,0.03418845,0.060543076,0.268030073,0.020699205,10,1,1,18,0.0278190301818759,0.0132806154155589,5,2,3,4,1,2,1,1,1,1,2,3,3,1,1,1,5,4,1,5,5,5,5,3,4,3,4,5,5,4,4.125,4,1,1,3,3.25,1.5,4.36363636363636,1.92307692307692,2,2.75917832167832
"149","Saint Pierre and Miquelon",2011,0.882950251,1.361923569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.000802246289610911,NA,3,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Sudan",2011,0.010053414,3.368559949,NA,3478.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,5,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Sudan (former)",2011,1.146941449,1.802489541,107,NA,2278.6537,70.2023,57.9506,517.9625,834.625,19.8591,12.1088,1.3991,1.8163,12.6419,1.8399,565.3154,12.1727,0.000231785,0.000161528,0.001016383,0.000154955,0.000243038,0.001717278,0.000222038,0.000656393,0.000374639,0.000205849,0.000166221,NA,NA,NA,3,0.0281658404686796,NA,4,4,3,1,1,NA,1,2,1,2,4,3,3,1,4,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,2.30769230769231,NA,NA
"152","Suriname",2011,5.78376035,1.819203027,116,15119.7,2595.7203,62.5622,62.502,305.4681,344.2923,22.7189,9.3119,2.0291,1.5086,25.9465,1.4865,207.622,24.6438,0.004958878,0.007528607,0.060225401,0.003308609,0.006994339,0.022214262,0.011904423,0.044497555,0.009151299,0.017940197,0.015662456,NA,NA,NA,6,0.00270498732037194,0.00882345549184177,5,4,2,2,2,3,2,1,2,1,1,4,2,4,3,4,1,1,4,3,4,4,2,3,3,3,4,3,4,4,3.25,NA,NA,NA,3,3.5,2.5,3.36363636363636,2.30769230769231,NA,2.91783216783217
"153","Sweden",2011,1.340683557,1.101116738,124,43709.2,3442.698,96.3513,161.2175,1104.5086,1237.0124,12.6347,12.4103,1.6076,1.8704,18.6874,2.0326,378.3525,19.9522,0.009078026,0.008418395,0.050555,0.005411927,0.011800622,0.054481148,0.014671755,0.037264745,0.018797977,0.005592426,0.025868706,3.3,5.6,5.8,10,0.0741282035726695,0.00384467236168791,4,3,3,3,3,5,4,4,5,4,5,1,3,2,4,2,3,3,3,4,4,4,3,4,4,4,4,4,3,4,3.75,1,4,4,2,3,4,3.81818181818182,3.30769230769231,3,3.53146853146853
"154","Syrian Arab Republic",2011,1.281796125,0.49748782,NA,NA,4194.2759,124.935,175.9126,853.4948,1383.5873,24.7036,18.6344,3.0391,3.3786,29.4468,3.5393,761.3463,32.807,0.002485281,0.003560069,0.019735783,0.004230875,0.003095982,0.015905158,0.004490067,0.009927415,0.008605636,0.002791461,0.009529494,NA,NA,NA,6,1.27118644067797,NA,4,1,5,2,NA,NA,5,5,5,3,5,4,5,5,5,5,5,5,5,1,2,2,3,2,2,2,1,3,2,3,2.25,NA,NA,NA,NA,NA,NA,2.09090909090909,4.76923076923077,NA,NA
"155","Taiwan",2011,0.903059784,0.501120818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,3.5,4.2,69,0.352708538523637,NA,4,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,NA,NA,NA,NA,NA,2.66666666666667,NA
"156","United Republic of Tanzania",2011,0.232200088,1.048922006,102,2206.9,2321.8097,57.1719,48.9085,759.6055,519.2654,20.6237,15.189,1.7981,1.1412,15.8696,2.299,550.6797,12.8298,0.00052144,0.000468274,0.003732222,0.000194451,0.000525352,0.003349611,0.000671433,0.001516559,0.000516524,0.003007753,0.000631454,NA,NA,NA,7,0.0208417193789534,0.00274952799552917,2,3,2,2,1,1,1,1,1,3,3,3,5,3,2,1,4,5,1,1,1,1,1,1,1,1,1,1,2,1,1.125,NA,NA,NA,2,2.25,1,1.09090909090909,2.53846153846154,NA,1.71984265734266
"157","Thailand",2011,0.992297717,2.330804995,112,13654.3,2759.3385,59.0223,61.5186,513.2421,344.7917,13.9656,5.9228,1.228,1.05,18.0364,1.6743,270.468,12.9027,0.015556093,0.009958488,0.067294209,0.013909525,0.014872809,0.074576362,0.027609648,0.042740471,0.023317416,0.015449334,0.034246589,9.3,2.6,1.8,39,0.642488160453133,0.294611124312399,4,5,5,5,2,3,2,1,2,2,1,1,1,1,1,2,1,1,1,5,4,4,5,4,4,5,4,4,4,5,4.375,3,1,1,5,4.75,2.5,4.36363636363636,1.30769230769231,1.66666666666667,3.23033216783217
"158","Timor-Leste",2011,0.006708445,0.649143287,101,1965.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.48625,NA,1,2,5,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"159","Togo",2011,0.507636435,5.352943584,109,1255.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.000829118646878368,NA,3,5,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"160","Tonga",2011,0.12787718,1.107836437,NA,5030.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,7,5,8,0.142660332541568,0.0124455841135428,1,3,4,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,3,2.75,NA,NA,NA,3.66666666666667,NA
"161","Trinidad and Tobago",2011,0.361733601,1.527771329,117,29765,2908.0079,67.9135,90.3065,267.0759,233.2387,19.4543,7.6414,2.3662,1.5864,27.0418,1.5293,255.6364,20.1074,0.009734585,0.010103415,0.070772159,0.026941091,0.009003643,0.040341815,0.019427729,0.055464337,0.010383967,0.024414087,0.024227066,NA,NA,NA,4,0.000438395852394023,NA,2,4,1,1,2,4,3,2,3,1,1,3,1,4,3,4,1,1,3,4,4,4,5,4,3,4,5,3,4,4,4,NA,NA,NA,NA,NA,3,4,2.30769230769231,NA,NA
"162","Tunisia",2011,0.412828298,0.917837565,141,10218.6,3435.5663,94.4049,90.6711,516.4541,647.9324,17.6536,10.827,1.6374,1.4923,18.6358,1.8968,441.7448,26.2731,0.006933294,0.006906278,0.03719273,0.010462767,0.010235914,0.052449554,0.017448266,0.035843224,0.009577414,0.00609139,0.010839669,NA,NA,NA,27,0.0801823492263972,0.0488807128990457,3,3,3,5,5,3,4,4,3,2,3,3,2,2,2,2,2,4,4,3,3,3,4,4,4,4,4,3,3,3,3.625,NA,NA,NA,4,3.25,4,3.45454545454545,2.84615384615385,NA,3.38767482517482
"163","Turkey",2011,0.908930025,1.237996844,154,17873.7,4014.2805,120.2539,134.7021,676.3445,955.7467,28.8644,20.1698,3.5464,2.4689,35.4031,3.9361,939.7449,36.7664,0.002255366,0.002782424,0.013630217,0.003821252,0.002153118,0.012558294,0.004996679,0.007767566,0.003602349,0.00205759,0.003137033,6.4,3.2,5.1,24,0.366945565240703,0.0373615851343799,4,3,4,4,5,4,5,5,5,3,4,5,5,5,5,5,5,5,5,1,2,1,3,1,2,2,1,2,1,1,1.625,2,3,4,4,3.75,4.5,1.54545454545455,4.76923076923077,3,3.64117132867133
"164","Turks and Caicos Islands",2011,0.339943464,1.610068434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,2,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Tuvalu",2011,2.922425257,0.567217379,NA,3488.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.000224618149146451,NA,5,2,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Ukraine",2011,0.209861122,1.483530371,125,8281.9,3265.2268,84.8418,100.2678,801.1542,762.2621,13.1944,10.1237,1.5389,1.6379,18.8409,2.2155,359.1226,22.7755,0.007651588,0.007103203,0.040241025,0.00680094,0.01059705,0.049999506,0.015770567,0.029322478,0.014827548,0.005320624,0.012815581,7.7,9.5,6.2,34,0.130862743354965,0.000307716618272325,2,4,3,5,3,2,4,3,4,3,4,1,2,2,3,2,4,2,4,3,3,3,4,4,4,4,3,4,2,3,3.5,3,4,4,1,2.5,2.5,3.36363636363636,2.92307692307692,3.66666666666667,2.82167832167832
"167","USSR",2011,3.755813953,1.083825576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,5,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","United Arab Emirates",2011,1.620048122,0.324890468,122,57594.1,3271.9059,97.8636,109.0682,362.7687,417.0413,26.6928,15.871,2.6433,1.3916,28.7097,2.7664,661.5259,31.7848,0.005420003,0.008819104,0.052255854,0.017599718,0.007310721,0.032369645,0.019012223,0.029710132,0.006573702,0.013407761,0.010163695,NA,NA,NA,13,0.0055225092152714,0.000621178045601728,4,1,2,3,3,5,4,4,4,1,2,4,5,5,2,5,5,5,5,3,4,4,5,3,3,4,3,2,4,3,3.375,NA,NA,NA,2,2.25,4,3.45454545454545,3.92307692307692,NA,3.40690559440559
"169","United Kingdom",2011,0.49490484,1.610935729,137,36590.2,3349.3622,90.7778,133.9593,778.6964,852.5724,17.7893,11.4254,1.6029,1.878,20.2556,2.098,364.7756,25.1976,0.004247787,0.0056073,0.035317963,0.005147956,0.007238044,0.029208308,0.009317407,0.022289466,0.011322349,0.00525779,0.016924039,9.9,1.9,3.5,36,0.331235058699749,0.0443339296184465,3,4,4,5,5,5,4,4,4,3,4,3,2,2,4,3,3,2,4,3,3,3,3,3,3,3,3,3,2,4,3,3,1,2,4,3.75,5,3,3.23076923076923,2,3.74519230769231
"170","United States of America",2011,2.048564456,0.630328023,143,49781.4,3975.6395,104.0201,197.6878,937.759,1095.4777,23.1853,13.5961,2.9667,3.1752,33.2449,2.2685,390.1896,53.7491,0.001928865,0.00512974,0.032364206,0.004765881,0.00384756,0.017815904,0.006178617,0.01860036,0.015048628,0.00535445,0.022275358,3.7,7.3,5.8,44,0.0731155225477095,0.00220556849819673,5,2,3,5,5,5,5,5,5,4,5,4,4,5,5,5,4,3,5,1,3,3,3,2,2,2,3,4,2,4,2.75,1,4,4,2,3,5,2.63636363636364,4.53846153846154,3,3.79370629370629
"171","Uruguay",2011,1.043711249,0.588638809,122,17904.8,3107.8075,107.1745,88.2736,897.6721,1346.4818,35.0373,19.1219,1.9621,1.9375,21.9279,1.7417,293.4582,17.8626,0.002171886,0.002108266,0.0117572,0.000502121,0.002385933,0.008461841,0.004285698,0.011344325,0.002744696,0.001903285,0.00257991,NA,NA,NA,13,0.000871229932155572,0,4,2,1,3,3,4,4,5,3,3,5,5,5,4,4,3,2,2,3,1,1,1,1,1,1,1,2,1,1,1,1.125,NA,NA,NA,1,2,3.5,1.09090909090909,3.69230769230769,NA,2.5708041958042
"172","Vanuatu",2011,0.099386471,0.642417121,131,2915.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.000991623391873907,0.0604864160263447,1,2,1,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2.5,NA,NA,NA,NA
"173","Venezuela",2011,0.652349782,3.810957045,124,17001.9,2834.3411,83.6347,86.1949,1217.4391,606.8359,34.1952,14.9639,2.1946,2.1648,31.5234,1.8145,265.6958,28.2345,0.004108329,0.005608256,0.034929114,0.000463741,0.004376351,0.014321263,0.009907483,0.024705671,0.007736343,0.01251801,0.009887754,1,3,3,16,0.104338493435897,0.0736075846289796,3,5,3,4,3,4,3,3,3,4,3,5,4,4,4,5,2,1,5,2,3,3,1,2,2,3,3,3,4,3,2.625,1,2,2,4,3.75,3.5,2.63636363636364,3.53846153846154,1.66666666666667,3.35620629370629
"174","Viet Nam",2011,1.959322969,3.735916648,116,4717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7,2.8,2.2,25,1.13541128160658,0.531269413328632,5,5,5,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,5,5,2,NA,NA,1.66666666666667,NA
"175","Yemen",2011,1.647283971,1.859971565,102,3616.2,2372.9504,68.8528,45.0449,112.1391,247.8536,19.6737,12.1693,2.1962,1.0242,23.3337,2.1798,617.1541,10.4767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.000953828349050305,0.00118254404885617,4,4,1,1,1,2,1,2,1,1,1,3,3,4,1,4,3,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.75,1.5,NA,2.30769230769231,NA,NA
"176","Yugoslavia SFR",2011,0.756061573,3.989962707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,3,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Southern Africa",2011,NA,NA,122,11762.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"178","Eastern Asia",2011,NA,NA,118,30126.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"179","Southern Asia",2011,NA,NA,111,5823.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"180","West Bank and Gaza Strip",2011,NA,NA,NA,4358.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Anguilla",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","British Virgin Islands",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","Montserrat",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Puerto Rico",2011,NA,NA,NA,34121.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0.0136892539356605,0,NA,NA,2,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"185","United States Virgin Islands",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.00997008973080758,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
