"","country","year","Q.balance","UV.balance","energy_adequacy","gdp","polyunsatFA_percentseafood","calories_percentseafood","protein_percentseafood","vitaminA_percentseafood","thiamin_percentseafood","niacin_percentseafood","riboflavin_percentseafood","B6_percentseafood","iron_percentseafood","calcium_percentseafood","zinc_percentseafood","native","fishmeal","habitat","spp_farmed","prod_ratio","vitamins_all","trade","fs","nutrition","ecol"
"75","Indonesia",2011,0.991183425840657,0.864414408027674,0.432835820895522,0.0618215839215343,0.121297984797154,0.0979582085491947,0.184964922302371,0.248223663534614,0.165607443539773,0.227224788562789,0.119419954185066,0.184952757002846,0.151467627038353,0.0816959111211688,0.214990906950041,1,0.422222222222222,0.205882352941176,0.488636363636364,0.81307743130815,0.174197881491831,0.889558421725493,0.247328702408528,0.163436742507579,0.542701525054466
"76","Iran",2011,0.825344669838293,0.883532122138781,0.567164179104478,0.129828172670773,0.0110981850187576,0.019600519181604,0.0248100429029831,0.0178861723532425,0.0169486565285749,0.0254589311070394,0.0181171119602538,0.0199350795709645,0.0184213887501428,0.00704659560592995,0.0179509354309191,0,0.222222222222222,0.735294117647059,NA,NA,0.0177206089133834,NA,0.348496175887625,0.0179339653100374,0.31917211328976
"77","Iraq",2011,0,0.935989742328766,0.402985074626866,0.0944552184526926,0.00173969510361443,0.00485212169630595,0.00815140300490242,0.0130471069382438,0.00397604882848358,0.00368486199702945,0.00500659977599794,0.00620296185144857,0.00305720809437121,0.00359721755415223,0.0041124068390908,NA,NA,NA,0.0340909090909091,0.7371716292656,0.0053355514848522,0.557720457198122,0.248720146539779,0.00522069378942186,NA
"78","Ireland",2011,0.900596363322376,0.946267348470484,0.850746268656716,0.337500365167719,0.0326431270608313,0.0533673527069753,0.0755103107103129,0.0270953085726932,0.0866925715437162,0.0900545593322741,0.0294355262807678,0.082661061408749,0.171570393665178,0.00890745416665522,0.104855507681874,0.9,0.7,0.838235294117647,0.215909090909091,0.657674035902816,0.0751590478314885,0.834845915898559,0.594123316912218,0.0693448339209116,0.812745098039216
"79","Israel",2011,0.729761326354448,0.949625702387545,1,0.224397997607496,0.0146300186900821,0.0468626262310961,0.0739887592172252,0.0324065054023943,0.0914435122838704,0.080089420611859,0.0383556477402461,0.0798917496332548,0.0781090458551518,0.0173412021162059,0.0693774425520895,NA,NA,NA,0.181818181818182,0.946622985856261,0.060876815774384,0.875336671532751,0.612198998803748,0.056590539121225,NA
"80","Italy",2011,0.914217531876682,0.665611024912744,0.791044776119403,0.264300529661731,0.0193380613001903,0.055936137936905,0.0884677746014046,0.0466816106115929,0.0853164491636727,0.0819213726791478,0.0434362730100839,0.08800621329494,0.266082242321087,0.0237906598023038,0.160180236111582,1,0.3,0.558823529411765,0.568181818181818,0.765824218804417,0.0994268821243013,0.781884258531281,0.527672652890567,0.0871960937120827,0.619607843137255
"81","Jamaica",2011,0.89139674703446,0.925385410765584,0.402985074626866,0.0589069837296246,0.0734057167939466,0.113139429284081,0.192868205388838,0.0555258904851077,0.119795587090063,0.139980890909734,0.0861417135457072,0.150748025147453,0.169905440897717,0.0493732112895061,0.220025995276185,NA,NA,NA,0.0568181818181818,0.578639399270664,0.123937094330184,0.798473852356903,0.230946029178245,0.124628191464394,NA
"82","Japan",2011,0.985816446200698,0.793140576329038,0.343283582089552,0.252424151855839,0.0788966731972655,0.205540949249286,0.278208868107804,0.136030636911855,0.125968162041819,0.318480753486075,0.180492861966225,0.291295743845832,0.805876964053233,0.338473091216723,0.546198885858005,1,0.977777777777778,0.764705882352941,0.465909090909091,0.676991260652637,0.342852137422471,0.818649427727458,0.297853866972695,0.300496689994011,0.914161220043573
"83","Jordan",2011,0.661997230656189,0.960775996362012,0.746268656716418,0.0799631161877539,0.0121724434838301,0.0270896473646701,0.0392181008483965,0.051625874022336,0.0292017534548198,0.0368787069677979,0.0279520264739511,0.0344378273276782,0.0284958813603333,0.0143359175755513,0.0259039850018239,NA,NA,NA,0.0113636363636364,0.798126355088196,0.0311039965230365,0.806966527368799,0.413115886452086,0.0297556512619262,NA
"84","Kenya",2011,0.829734730704582,0.419077285903816,0.17910447761194,0.0150231872138115,0,0,0,0.000141701191596809,0,0,0,0,0,0.00115585138407794,0,NA,NA,NA,0.0795454545454545,0.626052102713781,0.000162194071959344,0.624954706440726,0.0970638324128759,0.000117959325061341,NA
"85","Kiribati",2011,0.936768276972828,0.962659411620227,0.671641791044776,0.00780672402983364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.666666666666667,0.294117647058824,0.0340909090909091,0.583033027756202,NA,0.827486905449752,0.339724257537305,NA,0.65359477124183
"86","North Korea",2011,0.973268296677404,0.731264022401236,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.722222222222222,1,0.882352941176471,NA,NA,NA,NA,NA,NA,0.868191721132898
"87","South Korea",2011,0.989888385856595,0.860368625056289,0.671641791044776,0.230036936246585,0.0662017827532987,0.179101065179936,0.261256660418434,0.0677304687827854,0.110600602687654,0.255502317008731,0.152295391148028,0.227082086738028,0.585860517276023,0.281290074791741,0.425407562052618,0.844444444444444,1,0.882352941176471,NA,NA,0.263221127560701,NA,0.450839363645681,0.23748441171248,0.908932461873638
"88","Kuwait",2011,0.893869646161037,0.585342697521875,0.805970149253731,0.566976253985946,0.0171118303194969,0.0399649236717514,0.0596357271766437,0.0476641509295483,0.0392766702688289,0.0471394089117225,0.0401262150646696,0.0421782954853707,0.0690369879143311,0.0274836005872269,0.0701792390529549,NA,NA,NA,0.0681818181818182,0.59420179588068,0.0478855710268316,0.691138046521197,0.686473201619839,0.0454360953984132,NA
"89","Latvia",2011,0.968067127763365,0.868101456423584,0.656716417910448,0.141077585593441,0.0502731158835185,0.0936876965292586,0.141334919917664,0.0435518794040988,0.149712834975279,0.188367166221383,0.0742355611495904,0.151711642289267,0.209353445792516,0.0271586411840028,0.14232641978019,NA,NA,NA,0.227272727272727,0.357137383977768,0.123302198849541,0.731101989388239,0.398897001751944,0.115610302102433,NA
