"","country","species","area","year","value","value.kg","relative.value","production","native","fishmeal","intensity","hatchery","habitat","waste","ecol.score","msi"
"9383","France","Pacific cupped oyster","Mediterranean and Black Sea",2009,0,0,0,253.1,1,10,10,5,5,1,5.3,6.2
"9411","Greece","European flat oyster","Mediterranean and Black Sea",2009,19066.88,236.855652173913,0.0826238522743651,80.5,10,10,7,5,7,10,8.2,7.3
"9412","Greece","European seabass","Mediterranean and Black Sea",2009,144800,77.8494623655914,0.627472025277762,1860,10,3,5,5,5,1,4.8,5
"9426","Iceland","Abalones nei","Atlantic, Northeast",2009,15,0.416666666666667,0.000151297359729948,36,3,7,7,7,7,5,6,6.4
"9433","Iceland","Haddock","Atlantic, Northeast",2009,600,27.2479564032698,0.00605189438919793,22.02,10,3,5,8,7,5,6.3,6.9
"9435","Iceland","Spotted wolffish","Atlantic, Northeast",2009,910.39,2.43419786096257,0.00918264022163651,374,10,3,6,8,7,5,6.5,6.9
"9443","Indonesia","Groupers nei","Pacific, Western Central",2009,0,0,0,2165,9,1,5,5,3,4,4.5,5
"9454","Ireland","Atlantic salmon","Atlantic, Northeast",2009,14055.11,15.3105773420479,0.0109666227927162,918,10,3,3,5,5,5,5.2,5.4
"9459","Ireland","European flat oyster","Atlantic, Northeast",2009,66.05,11.0083333333333,5.1536091532468e-05,6,10,10,7,5,7,10,8.2,7.3
"9481","Italy","Gilthead seabream","Mediterranean and Black Sea",2009,1593.15,24.89296875,0.00419257017038496,64,10,1,3,5,3,1,3.8,4.7
"9512","Japan","Pacific cupped oyster","Pacific, Northwest",2009,250.7,0.0186741154562384,0.00265806839325544,13425,10,10,7,3,5,10,7.5,7.1
"9627","Mexico","Flathead grey mullet","Pacific, Eastern Central",2009,12726.29,0.463769177508108,0.0214224953429943,27441,10,3,5,5,5,5,5.5,5.8
"9635","Mexico","Pacific cupped oyster","Atlantic, Western Central",2009,31568.85,457.519565217391,0.0531406672414888,69,1,10,10,3,7,10,6.8,6.6
"9636","Mexico","Pacific cupped oyster","Pacific, Eastern Central",2009,0,0,0,3566.6,1,10,10,3,7,10,6.8,6.6
"9655","Morocco","Mediterranean mussel","Mediterranean and Black Sea",2009,0,0,0,4.95,10,10,7,5,6,10,6.3,6.4
"9674","Namibia","Pacific cupped oyster","Atlantic, Southeast",2009,62928.76,1210.16846153846,0.995263823653426,52,1,10,7,4,7,9,6.3,5.5
"9690","Nigeria","Snappers nei","Atlantic, Eastern Central",2009,972496.8,2525.96571428571,1,385,5,7,3,3,4,3,4.2,4.9
"9692","Norway","Atlantic cod","Atlantic, Northeast",2009,0,0,0,2800,10,1,3,3,3,1,3.5,4.6
"9723","Peru","False abalone","Pacific, Southeast",2009,30.43,0.308934010152284,0.00397491479992842,98.5,10,10,7,7,7,5,7.7,7.2
"9730","Peru","Whiteleg shrimp","Pacific, Southeast",2009,2495.6,277.288888888889,0.325987426049995,9,10,3,1,5,3,3,4.2,4.5
"9731","Philippines","Banana prawn","Pacific, Western Central",2009,0,0,0,1849.94,10,4,5,1,3,1,4,4.3
"9735","Philippines","Giant tiger prawn","Pacific, Western Central",2009,0,0,0,1276770,10,1,1,1,1,1,2.5,3.5
"9755","Portugal","Common cuttlefish","Atlantic, Northeast",2009,701.8,15.5955555555556,0.00104631358438558,45,10,5,5,6,7,7,6.7,6.5
"9756","Portugal","Common edible cockle","Atlantic, Northeast",2009,1859.28,28.7814241486068,0.00277200045764665,64.6,10,10,7,6,9,6,8,6.9
"9757","Portugal","Common sole","Atlantic, Northeast",2009,148606.86,427.031206896552,0.22155796003261,348,10,5,3,6,4,5,5.5,5.8
"9760","Portugal","Flat and cupped oysters nei","Atlantic, Northeast",2009,153.19,76.595,0.000228390963226028,2,10,10,7,6,7,9,8.2,7
"9761","Portugal","Gilthead seabream","Atlantic, Northeast",2009,356525.53,20972.09,0.531543894584309,17,10,3,3,6,4,3,4.8,5.3
"9764","Portugal","Grooved carpet shell","Atlantic, Northeast",2009,200,12.5,0.000298179989850549,16,10,10,7,7,8,9,8.5,7.3
"9766","Portugal","Marine molluscs nei","Atlantic, Northeast",2009,0,0,0,13,5,5,5,6,4,5,5,5.3
"9772","Portugal","Sargo breams nei","Atlantic, Northeast",2009,1574.04,0.0998123018389347,0.00234673615612179,15770,6,3,3,6,4,3,4.2,4.8
"9773","Portugal","Sea mussels nei","Atlantic, Northeast",2009,0,0,0,961,5,10,7,6,7,8,7.2,6.5
"9822","Saudi Arabia","Flathead grey mullet","Indian Ocean, Western",2009,346380.16,429.421735141702,0.819272648101651,806.62,10,3,5,5,5,5,5.5,5.7
"9881","South Africa","Giant tiger prawn","Atlantic, Southeast",2009,501.41,0.0224013760443194,0.00790015686556262,22383,1,3,3,7,5,5,4,4.7
"9886","South Africa","Mediterranean mussel","Atlantic, Southeast",2009,1817.66,5.03506925207756,0.028638836736919,361,1,10,7,7,7,9,6.8,6.2
"9887","South Africa","Mullets nei","Atlantic, Southeast",2009,1789.92,15.7010526315789,0.0282017685662588,114,5,5,4,6,5,6,5.2,5.4
"9888","South Africa","Pacific cupped oyster","Atlantic, Southeast",2009,0,0,0,1558,1,10,7,7,7,9,6.8,6.1
"9890","South Africa","Red bait","Atlantic, Southeast",2009,167.81,0.00859110223723954,0.00264399458249748,19533,1,5,4,7,5,6,4.7,5
"9891","South Africa","Sea mussels nei","Atlantic, Southeast",2009,0,0,0,5520,5,10,7,7,7,8,7.3,6.5
"9909","Spain","Cupped oysters nei","Atlantic, Northeast",2009,0,0,0,12.1,5,10,10,7,8,10,8.3,7.2
"9911","Spain","European eel","Atlantic, Northeast",2009,27063.89,2255.32416666667,0.00512479744858279,12,10,3,3,3,6,7,5.3,5.9
"9912","Spain","European flat oyster","Atlantic, Northeast",2009,104.89,0.00846433182698515,1.98618899345899e-05,12392,10,10,7,5,7,10,8.2,7.3
"9913","Spain","European flat oyster","Mediterranean and Black Sea",2009,352.38,10.3641176470588,6.6726406474886e-05,34,10,10,7,5,7,10,8.2,7.3
"9914","Spain","European seabass","Atlantic, Eastern Central",2009,112.5,2.44565217391304,2.13029136966476e-05,46,10,3,5,5,5,5,5.5,5.7
"9916","Spain","European seabass","Mediterranean and Black Sea",2009,346.73,488.352112676056,6.56565268092321e-05,0.71,10,3,5,5,5,5,5.5,5.7
"9920","Spain","Gilthead seabream","Atlantic, Northeast",2009,279548.34,1.16038014038379,0.0529350592094319,240911,10,1,1,3,3,1,3.2,4.2
"9921","Spain","Gilthead seabream","Mediterranean and Black Sea",2009,0,0,0,73989.8,10,1,1,3,3,1,3.2,4.2
"9930","Spain","Kuruma prawn","Atlantic, Northeast",2009,0,0,0,1366,1,3,5,5,5,7,4.3,4.8
"9942","Spain","Pacific cupped oyster","Mediterranean and Black Sea",2009,0,0,0,2126,1,10,7,5,7,10,6.7,6.4
"10010","Thailand","Blood cockle","Indian Ocean, Eastern",2009,2318.81,336.059420289855,0.0671785284581887,6.9,10,10,7,3,5,7,7,7
"10033","Turkey","Atlantic salmon","Mediterranean and Black Sea",2009,1863.52,9.38328298086606,0.0173373841066226,198.6,1,3,3,8,5,5,4.2,4.7
"10038","Turkey","Gilthead seabream","Mediterranean and Black Sea",2009,259.92,18.5657142857143,0.00241818326446368,14,8,3,3,7,5,6,5.3,5.1
"10041","Turkey","Mediterranean mussel","Mediterranean and Black Sea",2009,48.5,4.85,0.000451223023724562,10,10,10,7,6,7,8,8,6.6
"10042","Turkey","Natantian decapods nei","Mediterranean and Black Sea",2009,224.53,2.11820754716981,0.00208893001065724,106,5,5,5,6,5,5,5.2,5.1
"10050","Turkey","Trouts nei","Mediterranean and Black Sea",2009,1238.41,2.74592017738359,0.0115216310270255,451,5,3,3,5,5,5,4.3,4.8
"10056","Ukraine","Mullets nei","Mediterranean and Black Sea",2009,14387.1,1.3,1,11067,5,10,5,5,5,5,5.8,5.6
"10079","United Kingdom","Blue mussel","Atlantic, Northeast",2009,33.86,3.71271929824561,0.00209147129384616,9.12,10,10,9,8,8,10,9.2,8.2
"10081","United Kingdom","Cupped oysters nei","Atlantic, Northeast",2009,1002.26,25.0565,0.0619077973706512,40,5,10,7,6,8,10,7.7,6.9
"10082","United Kingdom","European flat oyster","Atlantic, Northeast",2009,806.61,22.7534555712271,0.0498228487988556,35.45,10,10,7,5,7,10,8.2,7.3
"10083","United Kingdom","European seabass","Atlantic, Northeast",2009,204.49,4.05412371134021,0.0126309794707206,50.44,10,3,5,7,5,5,5.8,6
"10090","United Kingdom","Pacific cupped oyster","Atlantic, Northeast",2009,11956.2,17.3278260869565,0.738512967616167,690,1,10,7,5,7,10,6.7,6.7
"10131","Viet Nam","Gracilaria seaweeds","Pacific, Western Central",2009,17994.67,25.67,0.485061215335817,701,10,10,10,5,7,10,8.7,7.9
"10146","Argentina","Pacific cupped oyster","Atlantic, Southwest",2010,25,1.25,0.0307639299074621,20,3,10,5,7,7,10,7,6.4
"10150","Australia","Atlantic salmon","Pacific, Southwest",2010,338177.44,10.6321702769831,0.562345073532687,31807,1,1,1,3,5,3,2.3,3.7
"10165","Australia","Southern bluefin tuna","Indian Ocean, Eastern",2010,93947.7,12.8978171334432,0.156222799086559,7284,10,1,1,1,3,1,2.8,4.1
"10188","Brazil","Cupped oysters nei","Atlantic, Southwest",2010,4960.8,0.0205567664779838,0.0119163219957966,241322,7,10,7,7,7,10,8,7.1
"10210","Canada","Atlantic cod","Atlantic, Northwest",2010,0,0,0,1.5,10,1,3,3,3,3,3.8,4.7
"10213","Canada","Blue mussel","Atlantic, Northwest",2010,34897.27,73.3135924369748,0.0406626341947141,476,10,10,9,8,8,10,9.2,8.2
"10214","Canada","Blue mussel","Pacific, Northeast",2010,10741.51,0.00984258656868225,0.0125161106249533,1091330,10,10,9,8,8,10,9.2,8.2
"10234","Chile","Atlantic salmon","Pacific, Southeast",2010,0,0,0,115829,1,1,1,1,1,2,1.2,2.5
"10261","China","Groupers nei","Pacific, Northwest",2010,646.24,0.587490909090909,0.00150948071331466,1100,9,1,5,5,5,4,4.8,5.3
"10279","China","Red drum","Pacific, Northwest",2010,0,0,0,422,1,1,2,5,4,5,3,4.4
"10341","Denmark","European eel","Atlantic, Northeast",2010,12288,12288,0.0684418740619389,1,10,3,3,3,6,7,5.3,5.9
"10369","France","Atlantic salmon","Atlantic, Northeast",2010,98426.01,54.2112855254461,0.0984965778732173,1815.6,10,3,2,5,5,3,4.7,4.8
