"","country","year","Q.balance","UV.balance","energy_adequacy","gdp","polyunsatFA_percentseafood","calories_percentseafood","protein_percentseafood","vitaminA_percentseafood","thiamin_percentseafood","niacin_percentseafood","riboflavin_percentseafood","B6_percentseafood","iron_percentseafood","calcium_percentseafood","zinc_percentseafood","native","fishmeal","habitat","spp_farmed","prod_ratio","Q.balance_q","UV.balance_q","prod_ratio_q","spp_farmed_q","energy_adequacy_q","gdp_q","vitaminA_percentseafood_q","thiamin_percentseafood_q","niacin_percentseafood_q","riboflavin_percentseafood_q","B6_percentseafood_q","iron_percentseafood_q","calcium_percentseafood_q","zinc_percentseafood_q","vitamins_all","polyunsatFA_percentseafood_q","calories_percentseafood_q","protein_percentseafood_q","native_q","fishmeal_q","habitat_q","trade","fs","nutrition","ecol","totscore"
"152","Suriname",2011,5.78376035,1.819203027,116,15119.7,0.004958878,0.007528607,0.060225401,0.003308609,0.006994339,0.022214262,0.011904423,0.044497555,0.009151299,0.017940197,0.015662456,NA,NA,NA,6,0.00270498732037194,5,4,2,2,2,3,2,3,3,3,4,3,4,4,3.25,3,4,4,NA,NA,NA,3.66666666666667,2.5,3.41666666666667,NA,3.19444444444444
"153","Sweden",2011,1.340683557,1.101116738,124,43709.2,0.009078026,0.008418395,0.050555,0.005411927,0.011800622,0.054481148,0.014671755,0.037264745,0.018797977,0.005592426,0.025868706,3.3,5.6,5.8,10,0.0741282035726695,4,3,3,3,3,5,3,4,4,4,4,4,3,4,3.75,4,4,4,1,4,4,3.33333333333333,4,3.91666666666667,3,3.75
"154","Syrian Arab Republic",2011,1.281796125,0.49748782,NA,NA,0.002485281,0.003560069,0.019735783,0.004230875,0.003095982,0.015905158,0.004490067,0.009927415,0.008605636,0.002791461,0.009529494,NA,NA,NA,6,1.27118644067797,4,1,5,2,NA,NA,3,2,2,2,1,3,2,3,2.25,1,2,2,NA,NA,NA,3.33333333333333,NA,2.08333333333333,NA,NA
"155","Taiwan",2011,0.903059784,0.501120818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,3.5,4.2,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,NA,NA,NA,2.66666666666667,NA
"156","United Republic of Tanzania",2011,0.232200088,1.048922006,102,2206.9,0.00052144,0.000468274,0.003732222,0.000194451,0.000525352,0.003349611,0.000671433,0.001516559,0.000516524,0.003007753,0.000631454,NA,NA,NA,NA,NA,2,3,NA,NA,1,1,1,1,1,1,1,1,2,1,1.125,1,1,1,NA,NA,NA,NA,1,1.04166666666667,NA,NA
"157","Thailand",2011,0.992297717,2.330804995,112,13654.3,0.015556093,0.009958488,0.067294209,0.013909525,0.014872809,0.074576362,0.027609648,0.042740471,0.023317416,0.015449334,0.034246589,9.3,2.6,1.8,39,0.642488160453133,4,5,5,5,2,3,5,4,4,5,4,4,4,5,4.375,5,4,4,3,1,1,4.66666666666667,2.5,4.79166666666667,1.66666666666667,3.98611111111111
"158","Timor-Leste",2011,0.006708445,0.649143287,101,1965.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"159","Togo",2011,0.507636435,5.352943584,109,1255.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.000829118646878368,3,5,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA
"160","Tonga",2011,0.12787718,1.107836437,NA,5030.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,7,5,8,0.142660332541568,1,3,3,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,2.33333333333333,NA,NA,3.66666666666667,NA
"161","Trinidad and Tobago",2011,0.361733601,1.527771329,117,29765,0.009734585,0.010103415,0.070772159,0.026941091,0.009003643,0.040341815,0.019427729,0.055464337,0.010383967,0.024414087,0.024227066,NA,NA,NA,4,0.000438395852394023,2,4,1,1,2,4,5,4,3,4,5,3,4,4,4,4,4,4,NA,NA,NA,2.33333333333333,3,4,NA,3.11111111111111
