"","","country","year","Q.balance","UV.balance","energy_adequacy","gdp","polyunsatFA_percentseafood","calories_percentseafood","protein_percentseafood","vitaminA_percentseafood","thiamin_percentseafood","niacin_percentseafood","riboflavin_percentseafood","B6_percentseafood","iron_percentseafood","calcium_percentseafood","zinc_percentseafood","native","fishmeal","habitat","spp_farmed","prod_ratio","vitamins_all","trade","fs","nutrition","ecol"
"18",25,"Brunei",2011,0.821337928618971,0.716858771269745,1,0.544178552407747,0.0493825084968807,0.093125355090931,0.151719725553418,0.181272506401144,0.175210791017733,0.140368807464445,0.100291889077398,0.140205374874299,0.336289879716555,0.0852630117428028,0.28358219885246,NA,NA,NA,NA,NA,0.180310557393355,NA,0.772089276203874,0.157882913480733,NA
"19",26,"Bulgaria",2011,0.983082081326197,0.943835920459688,1,0.112253680328808,0.0110652528599015,0.0207205062807585,0.0315404085038654,0.0218790031749635,0.0399119684822802,0.0483862788028718,0.0212823819049739,0.0420835942248546,0.0634249421420211,0.00768740871025864,0.0433540090557546,NA,NA,NA,0.5,0.668133291474627,0.0360011983122473,0.865017097753504,0.556126840164404,0.0319396140129549,NA
"20",29,"Cote dIvoire",2011,0.998903744218014,0.512086200857938,1,0.0144553982275695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.507227699113785,NA,NA
"21",30,"Cote dIvoire",2011,0.998903744218014,0.512086200857938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",31,"Cabo Verde",2011,0.606589117311346,0.925671897759161,1,0.0414298694459863,0.036378186378276,0.0575237507929773,0.105478404835993,0.0383268468682929,0.0972909956902761,0.170271183631818,0.0522826134689372,0.0805430282134073,0.0981996729049224,0.0978426377837711,0.0806094096164052,NA,NA,NA,NA,NA,0.0894207985222288,NA,0.520714934722993,0.0831587936531888,NA
"23",32,"Cambodia",2011,0.978069323918365,0.880737840270339,1,0.0152179433304644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444444444444444,0.222222222222222,0,0.318181818181818,0.566073880188216,NA,0.808293681458973,0.507608971665232,NA,0.222222222222222
"24",33,"Cameroon",2011,0.821868349463064,0.849890123850191,1,0.0149617641308671,0.0671943802814849,0.0727404236800012,0.136392320503833,0.0246917666546793,0.114158773430181,0.210821557561634,0.0918441600953673,0.0866175808427639,0.136998120403622,0.105208689366877,0.0645397956560191,NA,NA,NA,0.0795454545454545,0.324627813400707,0.104360055501393,0.66546209557132,0.507480882065434,0.101018869861497,NA
"25",34,"Canada",2011,0.941727271401738,0.87011604763934,1,0.306743130914313,0.0175864255176728,0.0529292475701744,0.0899313894197469,0.0347518186844637,0.0530768139725017,0.0678067814896959,0.0333312063827712,0.072540407413711,0.153495704866514,0.024634327732475,0.182658822533751,0.488888888888889,0.344444444444444,0.544117647058824,0.181818181818182,0.59080054967784,0.0777869853844853,0.800881289572973,0.653371565457156,0.0711584495984979,0.459150326797386
"26",35,"Cayman Islands",2011,0.735625780734185,0.965759990713022,NA,0.369175200355355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",38,"Chile",2011,0.941611553615572,0.827217116443584,1,0.147182440788523,0.022897336884681,0.0437522211136273,0.0673815864127468,0.00526146186191327,0.0294816121682792,0.0461270770225848,0.0323673331254141,0.086245144132903,0.0563982957128268,0.026532920414734,0.0488443759405001,0.233333333333333,0.244444444444444,0.323529411764706,0.25,0.619107031927967,0.0414072775473944,0.795978567329041,0.573591220394261,0.0422990331627464,0.267102396514161
"28",39,"China",2011,0.934609430537173,0.993641008977581,1,0.0741646273454067,0.0180062120421702,0.0553797889710565,0.0781468395837048,0.026266102047855,0.0240661460874328,0.0411494073565218,0.0625957329756883,0.0333640821092748,0.379165872291297,0.142819737273442,0.232347118227774,0.177777777777778,0.988888888888889,0.617647058823529,1,0.783572771000757,0.117721774796161,0.903941070171837,0.537082313672703,0.0993915489969287,0.594771241830065
"29",40,"Hong Kong",2011,0.831527608134897,0.415321738145493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",41,"Macao",2011,0.980313211431889,0.914115764982689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",42,"Colombia",2011,0.984158239952573,0.823198190004136,1,0.0814934498274536,0.0120509402363812,0.0201959804551463,0.040166651510602,0.000165131818790555,0.0182615566721823,0.0265668124411355,0.0142597985228874,0.0445669540752286,0.0232172779698099,0.00913837736768576,0.0215485577090718,1,0.222222222222222,0.294117647058824,0.25,0.558584187268601,0.019715558322099,0.788646872408437,0.540746724913727,0.0209216398889929,0.505446623093682
