"","year","country","Q.exp","Q.imp","V.exp","V.imp","Q.balance","V.balance","UV.balance","energy_adequacy","food_deficit","food_price","food_production","gdp","protein","protein_animal","undernourish","food_price_volatility","food_supply_variability","total_population","number_undernourished","dietary_energy_supply","fat_supply","food_over_acquisition","food_production_variability","native","ex.imp","fishmeal","intensity","nutri","hatchery","antibiotic","habitat","GMO","code","trace","employment","waste"
"2285",2010,"Namibia",164567,197118,342609,666645,0.83486541056626,0.513930202731589,0.615584495688961,91,250,3.37,188,8381.9,60,24,"34.3",5.2,71,2.1,"0.7",2075,51,4.3,16,4.4,1,10,7.1,3.4,4,8.8,7.8,8,3,5,4.6,9.4
"2291",2010,"Nicaragua",124565,68100,261834,166551,1.8291483113069,1.57209503395356,0.859468324266348,111,155,4.35,225,4024.2,64,19,"21.0",9.1,30,5.7,"1.2",2483,60,20.9,6.1,10,5,3,1,10,5,5,3,5,3,5,3,3
"2293",2010,"Nigeria",38027,196833,48858,196265,0.19319423064222,0.248938934603725,1.28854228087556,126,36,6.38,202,5122.8,64,10,"6.0",6,18,155.4,"9.3",2704,60,34.4,14.6,5.9,7.4,6.3,3,8.5,3,4,4,8,3.8,5,3,3
"2296",2010,"Pakistan",67560,36436,181892,128691,1.8542101218575,1.41340109253949,0.762265870452472,108,167,6.92,195,4296.6,63,26,"21.8",9.3,24,170.1,"37.2",2428,73,18.5,3.4,4,3,3,5,8,3,4,5,5,5,5,3,3
"2299",2010,"Panama",30724,87219,105255,172729,0.352262695054977,0.609364958981989,1.72985947003808,112,116,2.85,242,15158.8,74,39,"16.4",3,42,3.6,"0.6",2541,69,16.7,9.3,10,5,3,1,10,5,5,5,5,5,5,5,5
"2302",2010,"Peru",319181,404515,576319,685912,0.789046141675834,0.840222944051132,1.06485907435857,114,93,3.75,268,9877.7,71,26,"13.7",3.1,16,28.9,"3.9",2568,46,17.2,4.6,10,5,3.1,1.1,9.9,5,3.1,3.1,3.1,3.1,5.1,5,3.1
"2303",2010,"Philippines",189456,30911,278836,91587,6.12908026268966,3.04449321410244,0.496729212804664,118,87,8.75,208,5638.2,60,25,"13.0",3.1,29,91.9,"12.0",2587,51,25.8,4.3,10,4,5.5,5.5,10,1,4,2.5,7.7,4.5,3,6.7,2.5
"2317",2010,"Saudi Arabia",296526,227147,397943,296919,1.30543656750915,1.34024094113209,1.02666109904471,128,18,2.66,128,44246.8,82,31,"<5.0",6.1,32,26.8,"ns",3015,86,32.4,3,9.7,1.5,1.3,1.5,9.9,3.3,1.4,4.9,6.9,3.4,5,6.7,1.5
"2318",2010,"Senegal",60630,209776,211327,226316,0.289022576462512,0.933769596493399,3.23078427963053,110,93,8.15,120,2187.2,61,17,"14.6",9.9,49,12.6,"1.8",2437,73,14.6,16.9,7,3.2,7.7,5.7,5.3,4.1,6.7,6,7,4,5.1,5.7,6.7
"2328",2010,"South Africa",331050,261263,690012,707618,1.26711398093109,0.975119344052865,0.76955929673851,123,26,2.92,243,12086.9,81,33,"<5.0",5.5,25,50.9,"ns",2955,85,28,12.7,2.4,3.4,9.6,6.9,5.2,6.8,8.2,7.1,7.2,6,5.3,5,9
"2330",2010,"Sri Lanka",925507,125239,1512458,251526,7.38992646060732,6.0131278674968,0.813692517719943,108,238,6.96,111,8341.8,56,14,"26.7",6.8,18,20.6,"5.5",2452,45,21.1,3,10,1,1,1,10,1,5,1,10,3,1,5,1
"2341",2010,"Thailand",947290,1437620,1758529,834582,0.658929341550618,2.1070775549916,3.19772913744157,113,69,4.14,379,13584.2,58,23,"9.5",4.4,36,66.3,"6.3",2749,59,18.3,11.6,9.3,1.9,2.6,2,9.5,1.6,2.5,1.8,6.9,3.5,4.1,5.9,2.2
"2347",2010,"Turkey",411119,488490,457698,435041,0.841611906077914,1.05208014876759,1.25007754901009,153,2,3.67,443,16634.2,102,29,"<5.0",19,22,71.2,"ns",3622,112,64.9,12.1,6.4,3,3.2,3.1,8.9,6.4,4.1,5.1,5.1,4.5,4.2,5,6
"2378",2011,"Bangladesh",704874,115106,915134,388689,6.12369468142408,2.35441188199306,0.384475713515739,107,120,8.5,135,2579.3,55,10,"17.2",3.2,17,151.2,"26.0",2431,29,15,2.2,5,5,3,1,1,3,1,1,6,4,1,5,1
"2382",2011,"Belize",10976,45561,78038,113334,0.240907793946577,0.688566537843895,2.85821611066925,125,36,3.03,509,7857.2,71,28,"5.7",27.8,47,0.3,"<0.1",2788,72,31.3,30.8,1,5,3,3,3,5,1,1,5,7,3,5,3
"2389",2011,"Brazil",359178,1772930,812281,2198422,0.202590062777436,0.369483656913914,1.82379950846763,133,15,2.41,647,14830.9,92,49,"<5.0",6.1,21,195.2,"ns",3228,113,38.8,10.7,1.2,5,3.2,3.1,3.1,5.1,1.3,1.2,5.9,7,5.1,5.1,1.3
