"country","calories_percentseafood","protein_percentseafood","polyunsatFA_percentseafood","vitaminA_percentseafood","zinc_percentseafood","iron_percentseafood","calories_percentseafood_norm","protein_percentseafood_norm","polyunsatFA_percentseafood_norm","vitaminA_percentseafood_norm","zinc_percentseafood_norm","iron_percentseafood_norm","mean_reliance"
"Mozambique",0.00276128209237773,0.0280809788640641,0.00247861281141565,0.00456110637014931,0.00427434323100151,0.0100561013608541,0.162690382922782,0.255620875842625,0.123570785479372,0.256541936266143,0.114369002156391,0.279901870284801,0.198782475492019
"RŽunion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rwanda",0.000536771966773282,0.00465898590371975,0.00102687836620963,0.00039290373973599,0.000527206454481455,0.00176925596290318,0.031625757128408,0.0424107030959435,0.0511948319317468,0.0220990869271878,0.0141065124794214,0.0492455311714435,0.0351137371223585
"Seychelles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Somalia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Sudan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sudan (former)",0.000161527967150076,0.00101638265412957,0.000231785060011337,0.000154954982262229,0.000166221095401691,0.000374638931270803,0.00951697289491914,0.00925212135579561,0.0115556015026105,0.00871552819811494,0.0044475934175224,0.0104277128661808,0.00898592170585724
"Uganda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United Republic of Tanzania",0.000468273950272496,0.00373222159837263,0.000521439928915494,0.000194451330328704,0.000631454341957996,0.000516523708160999,0.0275899621023489,0.0339743766922482,0.025996291675582,0.0109370220169673,0.0168958829682321,0.0143769386139546,0.0216284123448889
"Zambia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zimbabwe",0.000569764540900797,0.00448416952057944,0.000604520338038633,0.00101184508724319,0.000740523255813954,0.00119403726535792,0.0335696275258695,0.0408193512706995,0.0301382501799562,0.0569117834176392,0.0198142501114025,0.0332348742092477,0.0357480227858024
"Angola",0.0073889860976999,0.0701907788449279,0.010818448418684,0.00329963383543092,0.0132765810538322,0.0115114945721225,0.435347399298408,0.638945973047171,0.539351754581355,0.185589719777357,0.355242722709346,0.320411334859174,0.412481484045469
"Cameroon",0.00861802128057173,0.0615118753447406,0.0141968989828777,0.00408524833068966,0.00839717012632868,0.0141841667938848,0.507760212563283,0.559941999403268,0.707783785593977,0.229777039128523,0.224683867528497,0.394802585174293,0.437458248231973
"Central African Republic",0.000854057211233916,0.00727723710404014,0.000811815332416133,0.00132106831728565,0.00094608876324806,0.00208928116071754,0.0503197029804234,0.0662446181543105,0.0404729039682337,0.0743042140552449,0.0253145856465772,0.0581531235068985,0.0524681913852814
"Chad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Congo",0.0102175283467496,0.0867396331842546,0.0231017798673495,0.00303125039948507,0.0203940739421389,0.0130024291588202,0.602000644499773,0.789590032176614,1,0.170494345819425,0.545686146528663,0.361910059296608,0.57828020472018
"Democratic Republic of the Congo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Equatorial Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gabon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sao Tome and Principe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southern Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Botswana",0.00190515230147061,0.0130762296992773,0.00261120579205647,0.00269997515830032,0.00246515411642578,0.00219086177269368,0.112248566819038,0.119032791008798,0.130181184123072,0.15186158768715,0.0659603595734817,0.0609805217456909,0.106710835159538
"Lesotho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Namibia",0.00608072902205893,0.0452601821053198,0.0119101036084881,0.00905203114494546,0.00904982000378939,0.00700787088854389,0.358266957142572,0.41200299485871,0.593776023130052,0.509136470103791,0.242146881425297,0.195057318739202,0.385064440899937
"South Africa",0.00292122725159983,0.0194950079400473,0.00282288715563173,0.0023422925541205,0.00325928896356933,0.00306651436178979,0.172114099272633,0.177462866530308,0.140734519540312,0.131743532899929,0.0872091000552201,0.0853534659526606,0.132436264041844
"Swaziland",0.000558893570524511,0.00478953229184497,0.00104909060907191,0.00145750374652109,0.000719103072635389,0.00142469595369827,0.0329291271082764,0.0435990655897227,0.0523022192110786,0.0819780998081475,0.0192411082639319,0.0396550360539986,0.0449507760058593
"Benin",0.00382293772526035,0.0337661280822385,0.00415143926514412,0.0036124534917928,0.00470694601677962,0.0120163052310359,0.225241457267046,0.307372733549605,0.206969240415881,0.203184433391229,0.12594419541197,0.334462252058517,0.233862385349041
"Burkina Faso",0.00309886736947817,0.0218370762790734,0.00336454618744339,0.00336398393880435,0.00246248786463871,0.00558919223782323,0.182580374659654,0.198782691704611,0.167738830869089,0.189209126732298,0.0658890184247005,0.155569768502725,0.159961635148846
"Cabo Verde",0.00681691379475567,0.0475817032529689,0.00769702804383184,0.00633695589558434,0.0104862087274233,0.0101679749829955,0.401641802075137,0.433135779150951,0.383733916347275,0.356425569490311,0.280580469032208,0.283015764521668,0.356422216769592
"C™te d'Ivoire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gambia",0.0129271331525149,0.111877325457897,0.0160327323201478,0.00413067977865181,0.0184660541852419,0.0145011625126533,0.761646283254405,1,0.799308918705073,0.232332355905141,0.494097941319777,0.403625854886049,0.615168559011741
"Ghana",0.0116840351602525,0.104882856932957,0.0335473385079776,0.00762529141037323,0.014218629141941,0.0153116746655612,0.688404911454697,0.954747620439576,1,0.428888709067028,0.380449191632783,0.426185677957305,0.646446018425231
"Guinea",0.0045160822620297,0.0485793222821383,0.00772627798395786,0.00154666183521232,0.00912226658009974,0.00797196222151053,0.266080439426502,0.442217095412326,0.385192166728274,0.0869928455409658,0.244085341252801,0.221891869977239,0.274409959723018
"Guinea-Bissau",0.000514599313867581,0.00569807928474406,0.000695083499112036,0.000157543899878993,0.00125680573596553,0.000530039900446411,0.0303193794129257,0.0518695599764499,0.0346532599054743,0.00886114329329994,0.0336284687865667,0.014753148773743,0.0290141600247433
"Liberia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mali",0.000555835084404746,0.00400684209354441,0.00067033263244976,0.000547207722557679,0.000465812849469602,0.00128325659754676,0.0327489259331186,0.0364742443727863,0.0334193100038736,0.0307779993037386,0.012463798040145,0.035718208162347,0.0302670809693349
"Mauritania",0.00318177515166632,0.0228628855695612,0.0051822744267938,0.00120559658862932,0.00204919585946184,0.00403338809964548,0.187465170337974,0.208120623638941,0.258361337655971,0.0678094431708457,0.0548305255342693,0.112265462743838,0.148142093846973
"Niger",7.96139998276041e-05,0.000498013472839329,8.85974973198946e-05,8.32305185562827e-05,4.97526586875162e-05,0.000103306206125365,0.00469073122000873,0.00453341177046819,0.00441701192090306,0.00468134629058539,0.00133123654821363,0.00287542848554392,0.00375486103928715
"Nigeria",0.00593261029930591,0.0529531578724639,0.0105783910553586,0.00180331986798753,0.00772681800381658,0.00545137086651356,0.349540035764549,0.482032077995482,0.52738373891969,0.101428717748931,0.206747193002908,0.151733643725288,0.303144234526141
"Saint Helena, Ascension and Tristan da Cunha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Senegal",0.0140590131018645,0.112362235198617,0.014096162447349,0.00654464530131736,0.0144678107553425,0.0191877522099677,0.828334863494223,1,0.702761584157585,0.368107174338955,0.387116567400304,0.534072553309579,0.636732123783441
"Sierra Leone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Togo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armenia",0.00102791868422643,0.00449818109440549,0.00130010039143951,0.000747215859292725,0.000953516449429182,0.00106181911537218,0.0605633465743723,0.0409468984901425,0.0648162657081009,0.0420275669531141,0.0255133289413843,0.0295547096863772,0.0439036860589152
"Azerbaijan",0.00131823644662955,0.00536503089830743,0.00249802815866437,0.0020217827019451,0.000999430801446792,0.00104885037348273,0.0776684109446619,0.0488378237734128,0.12453873404271,0.113716279993139,0.0267418635585449,0.029193737279692,0.0701161415986934
"Georgia",0.00448955438084594,0.0216887043912536,0.00617962688682151,0.0103039850363933,0.00400973813278799,0.00424607492651145,0.264517458534463,0.197432063861525,0.308084160969798,0.579553305266846,0.107288938761229,0.118185395179729,0.262510220428932
