"","country","tot.capture","tot.mariculture","prod_ratio"
"73","French Southern Terr",2009,NA,NA
"74","Gabon",70728,NA,NA
"75","Gambia",61469,20,0.000325367258292798
"76","Georgia",14565,NA,NA
"77","Germany",155112,5380,0.0346846149878797
"78","Ghana",102280,10,9.77708251857646e-05
"79","Greece",157771,102567.5,0.650103631212327
"80","Greenland",57305,NA,NA
"81","Grenada",61901,NA,NA
"82","Guadeloupe",4321,15,0.00347141865308956
"83","Guam",25916,40,0.00154344806297268
"84","Guatemala",40992,11212,0.273516783762685
"85","Guinea",37705,NA,NA
"86","Guinea-Bissau",32592,NA,NA
"87","Guyana",11173,230.33,0.0206148751454399
"88","Haiti",4902,NA,NA
"89","Honduras",13037,45500,3.49006673314413
"90","Hungary",18614,NA,NA
"91","Iceland",103243,7830,0.075840492817915
"92","India",224549,484259,2.15658497699834
"93","Indonesia",423428,11502447.96,27.1650622065617
"94","Iran (Islamic Rep. of)",139793,22598,0.161653301667465
"95","Iraq",29189,NA,NA
"96","Ireland",139994,30314.2,0.216539280254868
