country,calories,protein,fat,vitaminA,calcium,iron,zinc,thiamin,riboflavin,niacin,b6,magnesium,polyunsatFA
Ecuador,2463.7345,71.9176,96.5898,2868.4479,821.1647,24.1511,11.8872,1.7711,1.8971,20.8374,1.9638,253.0108,17.4473
Egypt,3537.702,88.2055,58.6383,504.4676,595.082,26.3524,9.2912,1.5725,1.216,21.2573,2.0325,390.1454,14.482
El Salvador,2435.6449,64.6329,54.3968,2104.3196,584.0895,35.1915,11.0461,2.0077,1.3204,19.7988,2.4558,535.9666,16.7538
Estonia,3398.536,101.5637,105.8146,1312.4755,1318.6014,16.059,13.3102,1.8089,2.1329,20.1036,2.3192,475.9986,15.4358
Fiji,3272.101,75.8464,109.9421,460.8525,353.5148,26.4326,14.1497,1.6214,0.94476,19.1111,1.8275,307.3489,16.2147
Finland,3286.51,106.1328,138.0147,1179.302,1495.871,12.482,13.3284,1.7397,2.0225,20.0939,2.1417,420.0539,17.3152
France,3855.9836,111.3011,177.8239,1110.6785,1390.7032,15.2814,13.4948,1.714,2.3087,20.7952,2.0918,397.5816,29.5046
French Polynesia,2848.9893,80.1524,136.7533,508.0217,287.8461,14.3398,9.9812,1.3902,1.1398,21.5039,1.7636,254.2887,24.0932
Gabon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambia,2757.3884,58.3756,71.3094,1402.1167,234.3202,25.0922,11.6194,1.2036,0.7986,17.04,1.8476,507.5048,19.8121
Georgia,3070.5839,97.3936,68.5747,328.3433,677.7904,23.5751,17.3103,2.9496,1.6518,30.3506,3.135,836.7611,16.231
Germany,3846.2861,98.0915,179.1945,960.3207,1266.3981,12.7309,12.1866,1.7053,2.2981,19.5239,2.1181,383.1933,29.4277
Ghana,3256.5864,65.3372,46.0643,858.7975,526.3488,25.0868,13.1611,2.8476,1.5181,26.3997,4.0831,634.5641,11.595
Greece,3884.5403,115.371,175.1819,907.5957,1492.675,16.277,13.3507,1.9436,3.0917,21.8436,2.3812,453.7422,29.9257
Grenada,2408.8593,64.2921,90.707,368.4729,278.2815,15.6457,7.4202,1.8181,1.4326,22.1559,1.5639,283.4006,15.9777
Guatemala,2527.8026,63.2436,56.4395,2965.6509,487.6775,28.3422,11.5796,2.156,1.5005,20.2565,2.4724,531.7873,20.4056
Guinea-Bissau,2400.0032,42.9944,70.8797,993.4139,243.7077,15.1878,7.7755,1.0304,0.72721,11.9531,1.4702,411.1362,13.1199
Guinea,2492.6251,45.063,59.4899,1246.2776,299.2509,16.5491,7.2391,1.0494,0.7922,14.5934,1.6124,340.9647,12.5295
Guyana,2482.1288,72.3709,48.3329,355.7086,512.756,27.3575,10.8929,2.2927,1.6631,27.085,1.5617,258.0553,5.8882
Haiti,1950.0236,47.7101,46.8411,1184.4689,289.4111,18.7248,7.8391,1.5004,0.85531,14.2243,1.4874,266.1549,14.2612
Honduras,2621.9446,65.2542,68.4982,4571.009,628.5356,26.8051,10.8536,2.047,1.5217,21.359,2.3784,472.4182,13.7472
Iceland,3014.8516,104.5555,123.5591,1253.441,1044.4423,12.8215,12.9869,1.4422,2.2146,22.4741,2.1004,373.1304,19.4106
India,2510.9233,66.1682,50.8858,317.7054,804.3658,21.9702,11.5156,0.23578,0.10875,17.826,14.7691,724.201,13.3527
Indonesia,2828.3075,59.684,62.3778,201.1079,268.2027,15.5995,7.2072,1.3964,1.0543,19.5788,1.5999,280.423,9.6671
Iran (Islamic Republic of),3352.2789,101.1076,84.2624,619.7117,646.4947,27.3842,16.8412,3.2122,1.8153,32.8725,3.4775,812.6142,25.065
Iraq,2628.8807,73.1126,72.7625,181.7944,281.9637,19.7753,12.8702,2.3835,1.1006,25.4413,2.2118,609.3622,20.1084
Ireland,4337.373,134.1735,181.6299,1344.0272,2325.4777,15.0102,16.968,2.0309,3.3846,27.05,2.7121,492.7592,24.0195
Israel,3733.45,106.4939,174.2311,846.9955,821.802,16.7195,12.9053,1.5175,1.9258,23.2403,2.3012,414.1229,40.7722
Italy,3916.764,105.9956,178.8186,811.5075,969.4045,15.0093,12.7123,1.8149,2.288,25.0904,2.114,363.1882,33.4388
Jamaica,2798.8029,69.7803,90.0271,1062.4289,547.8945,18.6477,7.9662,2.2697,1.7882,26.0411,2.2062,311.7903,15.6182
Japan,2456.4073,77.5564,86.5711,654.063,546.8673,21.9484,12.891,1.1633,1.079,17.4964,1.6241,306.8815,22.2349
Jordan,3258.2758,91.9799,109.5391,311.8405,471.0454,23.1349,15.8381,2.6421,1.5705,29.3357,2.796,683.4897,28.2426
Kenya,2164.0179,60.3132,45.7674,921.9886,474.3992,18.3663,13.5637,1.7154,1.2435,12.5263,1.9517,472.619,9.025
Kiribati,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kuwait,3972.303,108.0437,125.8499,586.3707,541.5084,31.1461,17.4215,3.177,1.9256,37.6834,3.5689,725.6359,33.0088
Lao People's Democratic Republic,2473.7485,57.4036,34.2157,358.8998,341.5441,13.116,5.6225,1.4036,0.89507,19.2477,1.9047,287.001,7.2818
Latvia,3587.8771,95.212,151.7756,1315.3406,969.9755,15.01,12.4923,1.8863,2.2183,22.3892,2.32,428.5505,26.8778
Lebanon,3280.37,88.3715,111.6336,465.9129,483.3069,22.0438,15.1366,2.5399,1.6016,27.9648,2.971,697.7835,33.9161
Liberia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Libya,2623.6676,50.4714,76.3513,490.8367,409.8605,11.0093,7.4816,1.2515,1.2035,17.7333,1.5579,274.791,9.9893
Lithuania,4059.9858,130.7735,153.5368,1479.1042,1843.2109,14.8009,15.0424,2.2768,2.6764,24.5777,2.6759,471.2646,22.8476
Madagascar,2158.4905,43.6091,22.1979,330.7408,342.1236,12.2733,7.6555,0.87388,0.79005,12.8558,1.605,295.567,4.8228
Malaysia,2890.9969,73.8039,88.7824,370.7178,293.6787,13.8758,7.0539,1.1445,1.013,20.0185,1.7498,255.6579,13.7983
Maldives,2654.7639,104.1913,61.7232,458.1596,356.405,21.0728,12.0148,2.3154,1.3368,35.1886,2.8779,533.9455,11.2899
Malta,3542.3711,98.8974,110.5879,640.5476,617.1978,15.5404,11.5997,1.6609,1.7443,23.3971,2.2091,369.0923,21.3706
Mauritania,2672.5446,69.4719,74.7096,1299.7239,552.229,27.3891,21.3209,1.4319,1.3471,12.9349,1.4659,413.1289,15.1647
Mauritius,2801.0559,76.4262,80.2089,362.2522,300.4532,18.0121,11.1805,1.4966,1.0476,21.1393,2.0457,391.4318,30.4407
Mexico,3066.8173,86.1759,83.4027,1445.3718,659.3644,44.7473,28.4892,4.0697,2.9662,36.8731,3.3894,611.5374,25.8414
Montenegro,3482.9716,99.882,121.5212,727.1363,1193.0905,13.7823,11.7252,1.9159,2.3542,17.9079,2.3496,402.5347,23.0145
Morocco,3571.921,95.6875,69.7064,615.1927,482.7375,33.7061,11.7553,3.4198,2.4397,35.9048,2.0689,475.6489,19.118
Mozambique,2460.1753,49.7352,43.11,391.388,385.7603,20.1932,8.9415,1.4893,0.7812,12.1572,1.7651,502.3997,12.8245
Myanmar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Namibia,2584.2181,63.1942,89.5139,299.6955,398.0855,24.9273,9.5002,1.8479,1.3412,17.2703,2.0257,763.6083,12.6341
Netherlands Antilles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,3722.887,124.911,159.2875,1190.207,2153.5802,15.2804,16.137,1.8853,3.1283,24.3272,2.6337,466.0555,22.4382
New Caledonia,2715.1718,71.2073,123.0635,801.365,300.3412,13.5865,8.4726,1.1875,1.2404,18.2543,1.6898,253.8637,22.6772
New Zealand,3657.6115,118.1914,159.7478,1250.6842,1400.1537,15.6535,15.7394,1.6015,2.5315,23.6107,2.3569,377.7577,19.2671
Nicaragua,2648.4133,71.7796,60.045,2539.906,689.6335,26.3818,12.1915,1.9317,1.4074,20.7556,2.171,477.2156,17.0295
Nigeria,2974.0509,66.1648,59.303,1373.4763,423.726,24.7763,16.0877,2.6042,1.3217,20.3151,2.9596,659.2901,13.5679
Norway,3499.0475,99.5428,148.448,881.27,1080.2917,13.5981,12.4235,1.6238,2.1327,18.9443,1.9744,390.308,25.7455
Occupied Palestinian Territory,4350.6628,151.201,151.073,1103.8601,1832.0433,31.0337,24.149,3.9433,4.566,36.7708,4.6316,1103.0995,29.6747
Pakistan,2583.0306,73.5509,75.3527,870.4686,930.629,23.7699,12.4994,1.7329,1.1974,20.5904,2.0833,636.1305,14.5521
Panama,2666.2372,82.3206,75.9659,1535.934,427.1056,29.5885,14.0357,2.1527,2.1179,28.6496,2.0471,319.0919,21.8986
Peru,2380.3828,70.7091,47.3158,1327.4904,571.0961,29.3906,15.8374,2.1523,1.9297,25.4215,2.1323,342.5682,12.7153
Philippines,2617.0403,58.9389,56.7876,713.906,211.1314,19.6053,5.4557,1.2572,0.93738,19.425,1.7746,243.6258,6.9853
Poland,3788.0292,100.3469,144.9322,1112.4902,991.4741,14.7833,12.5578,2.0225,2.3243,23.3242,2.3933,431.5368,20.9213
Portugal,3720.8262,100.3939,165.0603,1060.8799,875.9539,14.7397,11.6195,1.7728,2.0099,22.3468,2.3405,367.9821,29.2538
Republic of Korea,3256.6981,96.1283,107.0705,1242.7925,710.3268,32.2177,17.4518,1.5385,1.4321,24.8422,2.4739,453.4538,30.6849
Republic of Moldova,2936.5967,66.8447,96.061,556.5872,638.3712,13.2951,7.289,1.185,1.5696,16.8745,1.7255,269.8707,23.8819
Romania,3497.3417,97.3916,114.7862,975.435,1102.5865,14.4382,10.7736,1.6603,2.1941,20.1658,2.3721,381.1013,24.1785
Russian Federation,3447.4872,92.4059,111.8953,725.7881,753.6862,13.6141,10.6554,1.5008,1.7032,19.3949,2.0784,340.2326,23.5421
Saint Kitts and Nevis,2280.5007,56.2072,88.1837,218.7174,154.6406,12.4718,6.022,1.7154,1.1342,21.9183,1.2399,169.4678,16.9789
Saint Lucia,2556.8535,73.1007,79.5274,267.3042,215.9345,16.5062,7.3766,2.2462,1.6365,27.6298,1.5773,215.4391,8.8582
Saint Vincent and the Grenadines,2871.3491,76.8815,95.3581,561.6194,365.7225,20.2522,9.0015,2.3871,1.6708,28.0969,2.0861,344.0482,17.0781
Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saudi Arabia,3273.6675,86.2947,106.2653,343.4695,494.2891,23.2082,14.2468,2.5228,1.5688,29.0232,2.7451,642.7868,22.6252
Senegal,2478.4564,57.2835,73.5689,909.9625,246.9109,20.4641,13.9354,1.1845,0.83346,15.924,1.7505,421.6097,23.029
Sierra Leone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slovenia,3308.405,89.1357,132.6372,690.6633,848.7791,13.4741,10.8194,1.5616,2.0525,19.4334,2.0035,351.3882,27.1432
Solomon Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Somalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Africa,2942.1025,79.1557,75.7549,589.1621,361.6843,30.9467,18.0919,3.2394,2.2263,31.7421,2.2326,491.5574,25.7319
Spain,3405.5247,94.359,183.5232,560.1272,758.6642,14.8457,11.1157,1.7237,1.9419,21.4792,2.1398,337.3762,35.5618
Sri Lanka,2525.2946,58.5806,55.6124,280.089,403.9834,17.0676,11.4849,0.15403,0.14182,14.1329,3.9325,513.4398,4.1898
Sudan (former),2278.6537,70.2023,57.9506,517.9625,834.625,19.8591,12.1088,1.3991,1.8163,12.6419,1.8399,565.3154,12.1727
Suriname,2595.7203,62.5622,62.502,305.4681,344.2923,22.7189,9.3119,2.0291,1.5086,25.9465,1.4865,207.622,24.6438
Sweden,3442.698,96.3513,161.2175,1104.5086,1237.0124,12.6347,12.4103,1.6076,1.8704,18.6874,2.0326,378.3525,19.9522
Syrian Arab Republic,4194.2759,124.935,175.9126,853.4948,1383.5873,24.7036,18.6344,3.0391,3.3786,29.4468,3.5393,761.3463,32.807
Thailand,2759.3385,59.0223,61.5186,513.2421,344.7917,13.9656,5.9228,1.228,1.05,18.0364,1.6743,270.468,12.9027
The former Yugoslav Republic of Macedonia,3019.041,75.3208,107.354,776.7046,742.644,14.0311,8.7368,1.3395,1.7043,16.2528,2.1131,340.5697,26.7676
Timor-Leste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Togo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trinidad and Tobago,2908.0079,67.9135,90.3065,267.0759,233.2387,19.4543,7.6414,2.3662,1.5864,27.0418,1.5293,255.6364,20.1074
Tunisia,3435.5663,94.4049,90.6711,516.4541,647.9324,17.6536,10.827,1.6374,1.4923,18.6358,1.8968,441.7448,26.2731
Turkey,4014.2805,120.2539,134.7021,676.3445,955.7467,28.8644,20.1698,3.5464,2.4689,35.4031,3.9361,939.7449,36.7664
Ukraine,3265.2268,84.8418,100.2678,801.1542,762.2621,13.1944,10.1237,1.5389,1.6379,18.8409,2.2155,359.1226,22.7755
United Arab Emirates,3271.9059,97.8636,109.0682,362.7687,417.0413,26.6928,15.871,2.6433,1.3916,28.7097,2.7664,661.5259,31.7848
United Kingdom,3349.3622,90.7778,133.9593,778.6964,852.5724,17.7893,11.4254,1.6029,1.878,20.2556,2.098,364.7756,25.1976
United Republic of Tanzania,2321.8097,57.1719,48.9085,759.6055,519.2654,20.6237,15.189,1.7981,1.1412,15.8696,2.299,550.6797,12.8298
United States of America,3975.6395,104.0201,197.6878,937.759,1095.4777,23.1853,13.5961,2.9667,3.1752,33.2449,2.2685,390.1896,53.7491
Uruguay,3107.8075,107.1745,88.2736,897.6721,1346.4818,35.0373,19.1219,1.9621,1.9375,21.9279,1.7417,293.4582,17.8626
Vanuatu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Venezuela (Bolivarian Republic of),2834.3411,83.6347,86.1949,1217.4391,606.8359,34.1952,14.9639,2.1946,2.1648,31.5234,1.8145,265.6958,28.2345
Viet Nam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yemen,2372.9504,68.8528,45.0449,112.1391,247.8536,19.6737,12.1693,2.1962,1.0242,23.3337,2.1798,617.1541,10.4767
